projected,top10,actual,name,draftkings_id,position,salary,team,opponent-rank,ppg,home,goalie,center,defense,wing,homeXgoalie,homeXcenter,homeXdefense,homeXwing,ppgXgoalie,ppgXcenter,ppgXdefense,ppgXwing,homeXppg,homeXor,ppgXor
,,,Marc-Andre Fleury,229367,G,9300,NYR,11,6.1,0,1,0,0,0,0,0,0,0,6.1,0.0,0.0,0.0,0.0,0,67.1
,,,Evgeni Malkin,268144,C,9000,NYR,21,4.5,0,0,1,0,0,0,0,0,0,0.0,4.5,0.0,0.0,0.0,0,94.5
,,,Sidney Crosby,296786,C,8700,NYR,21,4.6,0,0,1,0,0,0,0,0,0,0.0,4.6,0.0,0.0,0.0,0,96.6
,,,Roberto Luongo,170836,G,8500,STL,14,4.7,0,1,0,0,0,0,0,0,0,4.7,0.0,0.0,0.0,0.0,0,65.8
,,,Thomas Greiss,326139,G,8400,NYR,11,5.0,0,1,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0,55.0
,,,Henrik Lundqvist,184061,G,8300,NYR,3,4.3,1,1,0,0,0,1,0,0,0,4.3,0.0,0.0,0.0,4.3,3,12.899999999999999
,,,Rick Nash,172212,LW,8200,NYR,7,4.8,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,4.8,4.8,7,33.6
,,,Jake Allen,483706,G,8000,STL,29,4.5,1,1,0,0,0,1,0,0,0,4.5,0.0,0.0,0.0,4.5,29,130.5
,,,Cam Talbot,543471,G,8000,NYR,3,4.3,1,1,0,0,0,1,0,0,0,4.3,0.0,0.0,0.0,4.3,3,12.899999999999999
,,,Vladimir Tarasenko,550766,RW,7900,STL,6,4.9,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,4.9,4.9,6,29.400000000000002
,,,Cory Schneider,269241,G,7800,CAR,28,4.1,0,1,0,0,0,0,0,0,0,4.1,0.0,0.0,0.0,0.0,0,114.79999999999998
,,,Patric Hornqvist,386808,RW,7600,NYR,13,4.3,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.3,0.0,0,55.9
,,,Eric Staal,229368,C,7200,CAR,23,3.3,1,0,1,0,0,0,1,0,0,0.0,3.3,0.0,0.0,3.3,23,75.89999999999999
,,,Martin Brodeur,169791,G,7000,STL,29,2.4,1,1,0,0,0,1,0,0,0,2.4,0.0,0.0,0.0,2.4,29,69.6
,,,Cam Ward,172223,G,7000,CAR,18,4.2,1,1,0,0,0,1,0,0,0,4.2,0.0,0.0,0.0,4.2,18,75.60000000000001
,,,Alex Pietrangelo,456627,D,7000,STL,19,4.0,1,0,0,1,0,0,0,1,0,0.0,0.0,4.0,0.0,4.0,19,76.0
,,,Jeff Skinner,550757,LW,6800,CAR,6,3.3,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.3,3.3,6,19.799999999999997
,,,Kevin Shattenkirk,392955,D,6700,STL,19,3.7,1,0,0,1,0,0,0,1,0,0.0,0.0,3.7,0.0,3.7,19,70.3
,,,Scott Clemmensen,171394,G,6500,CAR,28,0.4,0,1,0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,0.0,0,11.200000000000001
,,,Michael Cammalleri,172301,LW,6500,CAR,17,3.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.1,0.0,0,52.7
,,,Al Montoya,268148,G,6500,STL,14,3.0,0,1,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0,42.0
,,,Anton Khudobin,395751,G,6500,CAR,18,2.5,1,1,0,0,0,1,0,0,0,2.5,0.0,0.0,0.0,2.5,18,45.0
,,,Nick Bjugstad,550769,C,6100,STL,2,3.5,0,0,1,0,0,0,0,0,0,0.0,3.5,0.0,0.0,0.0,0,7.0
,,,Derek Stepan,551066,C,5800,NYR,19,3.7,1,0,1,0,0,0,1,0,0,0.0,3.7,0.0,0.0,3.7,19,70.3
,,,Alexander Steen,172195,LW,5600,STL,20,3.0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.0,3.0,20,60.0
,,,David Backes,321868,C,5400,STL,4,2.8,1,0,1,0,0,0,1,0,0,0.0,2.8,0.0,0.0,2.8,4,11.2
,,,Justin Faulk,554484,D,5300,CAR,10,3.5,1,0,0,1,0,0,0,1,0,0.0,0.0,3.5,0.0,3.5,10,35.0
,,,Martin St. Louis,170816,RW,5200,NYR,1,3.2,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.2,3.2,1,3.2
,,,T.J. Oshie,300805,C,5100,STL,4,2.3,1,0,1,0,0,0,1,0,0,0.0,2.3,0.0,0.0,2.3,4,9.2
,,,Paul Stastny,330094,C,5000,STL,4,2.3,1,0,1,0,0,0,1,0,0,0.0,2.3,0.0,0.0,2.3,4,9.2
,,,Jaden Schwartz,550764,LW,5000,STL,20,3.7,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.7,3.7,20,74.0
,,,Derick Brassard,329582,C,4900,NYR,19,3.1,1,0,1,0,0,0,1,0,0,0.0,3.1,0.0,0.0,3.1,19,58.9
,,,Aaron Ekblad,831066,D,4900,STL,2,3.1,0,0,0,1,0,0,0,0,0,0.0,0.0,3.1,0.0,0.0,0,6.2
,,,Adam Henrique,570272,C,4600,CAR,16,2.9,0,0,1,0,0,0,0,0,0,0.0,2.9,0.0,0.0,0.0,0,46.4
,,,Brad Boyes,177971,RW,4500,STL,16,2.6,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.6,0.0,0,41.6
,,,Vincent Trocheck,607956,C,4500,STL,2,2.7,0,0,1,0,0,0,0,0,0,0.0,2.7,0.0,0.0,0.0,0,5.4
,,,Sean Bergenheim,172231,LW,4400,STL,19,1.7,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.7,0.0,0,32.3
,,,Christian Ehrhoff,172864,D,4400,NYR,5,2.2,0,0,0,1,0,0,0,0,0,0.0,0.0,2.2,0.0,0.0,0,11.0
,,,Jiri Tlusty,329541,LW,4400,CAR,6,2.7,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.7,2.7,6,16.200000000000003
,,,Jaromir Jagr,169141,RW,4200,CAR,11,2.4,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.4,0.0,0,26.4
,,,Chris Kreider,504299,LW,4200,NYR,7,2.3,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.3,2.3,7,16.099999999999998
,,,Jonathan Huberdeau,600077,LW,4200,STL,19,2.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.2,0.0,0,41.800000000000004
,,,Marek Zidlicky,178388,D,4100,CAR,20,2.5,0,0,0,1,0,0,0,0,0,0.0,0.0,2.5,0.0,0.0,0,50.0
,,,Ryan McDonagh,392953,D,4100,NYR,14,2.7,1,0,0,1,0,0,0,1,0,0.0,0.0,2.7,0.0,2.7,14,37.800000000000004
,,,Mats Zuccarello,547287,RW,4100,NYR,1,2.3,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.3,2.3,1,2.3
,,,Dan Boyle,170896,D,4000,NYR,14,2.4,1,0,0,1,0,0,0,1,0,0.0,0.0,2.4,0.0,2.4,14,33.6
,,,Michael Ryder,177697,RW,4000,CAR,11,2.4,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.4,0.0,0,26.4
,,,Lee Stempniak,296123,RW,4000,NYR,1,2.4,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.4,2.4,1,2.4
,,,Jimmy Hayes,550521,RW,4000,STL,16,2.6,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.6,0.0,0,41.6
,,,Carl Hagelin,597939,LW,4000,NYR,7,2.3,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.3,2.3,7,16.099999999999998
,,,Olli Maatta,659868,D,4000,NYR,5,2.0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0,10.0
,,,Jussi Jokinen,184091,C,3800,STL,2,2.3,0,0,1,0,0,0,0,0,0,0.0,2.3,0.0,0.0,0.0,0,4.6
,,,Andy Greene,323176,D,3800,CAR,20,2.3,0,0,0,1,0,0,0,0,0,0.0,0.0,2.3,0.0,0.0,0,46.0
,,,Tomas Fleischmann,172235,LW,3700,STL,19,1.5,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.5,0.0,0,28.5
,,,Alexander Semin,184263,RW,3700,CAR,24,1.4,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.4,1.4,24,33.599999999999994
,,,Jori Lehtera,498308,C,3700,STL,4,3.0,1,0,1,0,0,0,1,0,0,0.0,3.0,0.0,0.0,3.0,4,12.0
,,,Eric Gelinas,547077,D,3700,CAR,20,2.2,0,0,0,1,0,0,0,0,0,0.0,0.0,2.2,0.0,0.0,0,44.0
,,,Patrik Elias,170456,C,3600,CAR,16,1.8,0,0,1,0,0,0,0,0,0,0.0,1.8,0.0,0.0,0.0,0,28.8
,,,Patrik Berglund,329659,C,3600,STL,4,1.9,1,0,1,0,0,0,1,0,0,0.0,1.9,0.0,0.0,1.9,4,7.6
,,,Brandon Pirri,564333,C,3600,STL,2,2.2,0,0,1,0,0,0,0,0,0,0.0,2.2,0.0,0.0,0.0,0,4.4
,,,Kevin Klein,230677,D,3500,NYR,14,2.4,1,0,0,1,0,0,0,1,0,0.0,0.0,2.4,0.0,2.4,14,33.6
,,,Andrej Sekera,329579,D,3500,CAR,10,2.1,1,0,0,1,0,0,0,1,0,0.0,0.0,2.1,0.0,2.1,10,21.0
,,,Brandon Sutter,392952,C,3500,NYR,21,2.5,0,0,1,0,0,0,0,0,0,0.0,2.5,0.0,0.0,0.0,0,52.5
,,,Nathan Gerbe,451466,LW,3500,CAR,6,2.5,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.5,2.5,6,15.0
,,,John-Michael Liles,232379,D,3400,CAR,10,1.9,1,0,0,1,0,0,0,1,0,0.0,0.0,1.9,0.0,1.9,10,19.0
,,,Dan Girardi,329288,D,3400,NYR,14,2.5,1,0,0,1,0,0,0,1,0,0.0,0.0,2.5,0.0,2.5,14,35.0
,,,Elias Lindholm,741408,C,3400,CAR,23,2.4,1,0,1,0,0,0,1,0,0,0.0,2.4,0.0,0.0,2.4,23,55.199999999999996
,,,Brian Campbell,170944,D,3300,STL,2,1.9,0,0,0,1,0,0,0,0,0,0.0,0.0,1.9,0.0,0.0,0,3.8
,,,Robert Bortuzzo,521554,D,3300,NYR,5,1.6,0,0,0,1,0,0,0,0,0,0.0,0.0,1.6,0.0,0.0,0,8.0
,,,Kevin Hayes,550774,RW,3300,NYR,1,1.8,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.8,1.8,1,1.8
,,,Victor Rask,607590,C,3300,CAR,23,2.2,1,0,1,0,0,0,1,0,0,0.0,2.2,0.0,0.0,2.2,23,50.6
,,,Damon Severson,660810,D,3300,CAR,20,2.4,0,0,0,1,0,0,0,0,0,0.0,0.0,2.4,0.0,0.0,0,48.0
,,,Jesper Fast,555872,RW,3200,NYR,1,1.2,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.2,1.2,1,1.2
,,,Aleksander Barkov,741405,C,3200,STL,2,1.3,0,0,1,0,0,0,0,0,0,0.0,1.3,0.0,0.0,0.0,0,2.6
,,,Blake Comeau,303078,LW,3100,NYR,3,2.5,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.5,0.0,0,7.5
,,,Riley Nash,392962,C,3100,CAR,23,2.5,1,0,1,0,0,0,1,0,0,0.0,2.5,0.0,0.0,2.5,23,57.5
,,,Chris Butler,448201,D,3100,STL,19,1.6,1,0,0,1,0,0,0,1,0,0.0,0.0,1.6,0.0,1.6,19,30.400000000000002
,,,Dmitry Kulikov,504287,D,3100,STL,2,1.6,0,0,0,1,0,0,0,0,0,0.0,0.0,1.6,0.0,0.0,0,3.2
,,,Dainius Zubrus,170546,LW,3000,CAR,17,1.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.2,0.0,0,20.4
,,,Tomas Kopecky,172444,RW,3000,STL,16,1.5,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.5,0.0,0,24.0
,,,Paul Martin,177791,D,3000,NYR,5,1.9,0,0,0,1,0,0,0,0,0,0.0,0.0,1.9,0.0,0.0,0,9.5
,,,Matt Hunwick,393187,D,2900,NYR,14,1.7,1,0,0,1,0,0,0,1,0,0.0,0.0,1.7,0.0,1.7,14,23.8
,,,Adam Larsson,600078,D,2900,CAR,20,1.7,0,0,0,1,0,0,0,0,0,0.0,0.0,1.7,0.0,0.0,0,34.0
,,,Barret Jackman,171036,D,2800,STL,19,1.6,1,0,0,1,0,0,0,1,0,0.0,0.0,1.6,0.0,1.6,19,30.400000000000002
,,,Tim Gleason,178005,D,2800,CAR,10,1.5,1,0,0,1,0,0,0,1,0,0.0,0.0,1.5,0.0,1.5,10,15.0
,,,Dominic Moore,184073,C,2800,NYR,19,1.6,1,0,1,0,0,0,1,0,0,0.0,1.6,0.0,0.0,1.6,19,30.400000000000002
,,,Jay Harrison,172597,D,2700,CAR,10,1.5,1,0,0,1,0,0,0,1,0,0.0,0.0,1.5,0.0,1.5,10,15.0
,,,Steve Bernier,229380,RW,2700,CAR,11,1.7,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.7,0.0,0,18.7
,,,Stephen Gionta,451925,C,2700,CAR,16,1.4,0,0,1,0,0,0,0,0,0,0.0,1.4,0.0,0.0,0.0,0,22.4
,,,Zach Boychuk,456826,LW,2700,CAR,6,1.3,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.3,1.3,6,7.800000000000001
,,,Nick Spaling,472380,C,2700,NYR,21,1.5,0,0,1,0,0,0,0,0,0,0.0,1.5,0.0,0.0,0.0,0,31.5
,,,Dylan Olsen,504313,D,2700,STL,2,1.4,0,0,0,1,0,0,0,0,0,0.0,0.0,1.4,0.0,0.0,0,2.8
,,,Erik Gudbranson,550753,D,2700,STL,2,1.5,0,0,0,1,0,0,0,0,0,0.0,0.0,1.5,0.0,0.0,0,3.0
,,,Jayson Megna,693364,RW,2700,NYR,13,1.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,13.0
,,,Willie Mitchell,171099,D,2600,STL,2,1.7,0,0,0,1,0,0,0,0,0,0.0,0.0,1.7,0.0,0.0,0,3.4
,,,Marc Staal,300790,D,2600,NYR,14,1.8,1,0,0,1,0,0,0,1,0,0.0,0.0,1.8,0.0,1.8,14,25.2
,,,Steve Downie,300810,RW,2600,NYR,13,1.9,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.9,0.0,0,24.7
,,,Ed Jovanovski,170137,D,2500,STL,2,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
,,,Scott Gomez,170878,C,2500,CAR,16,0.3,0,0,1,0,0,0,0,0,0,0.0,0.3,0.0,0.0,0.0,0,4.8
,,,Craig Adams,171296,RW,2500,NYR,13,0.8,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.8,0.0,0,10.4
,,,Ron Hainsey,171342,D,2500,CAR,10,1.4,1,0,0,1,0,0,0,1,0,0.0,0.0,1.4,0.0,1.4,10,14.0
,,,Derek MacKenzie,171391,C,2500,STL,2,1.3,0,0,1,0,0,0,0,0,0,0.0,1.3,0.0,0.0,0.0,0,2.6
,,,Jordin Tootoo,172192,RW,2500,CAR,11,0.4,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.4,0.0,0,4.4
,,,Steve Ott,172443,C,2500,STL,4,0.7,1,0,1,0,0,0,1,0,0,0.0,0.7,0.0,0.0,0.7,4,2.8
,,,Shawn Thornton,173242,LW,2500,STL,19,0.9,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.9,0.0,0,17.1
,,,Rob Scuderi,178001,D,2500,NYR,5,1.0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,5.0
,,,Marcel Goc,178004,C,2500,NYR,21,0.8,0,0,1,0,0,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0,16.8
,,,Jay McClement,178282,C,2500,CAR,23,1.1,1,0,1,0,0,0,1,0,0,0.0,1.1,0.0,0.0,1.1,23,25.3
,,,Tuomo Ruutu,184079,LW,2500,CAR,17,1.4,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.4,0.0,0,23.799999999999997
,,,Joakim Lindstrom,184271,C,2500,STL,4,1.3,1,0,1,0,0,0,1,0,0,0.0,1.3,0.0,0.0,1.3,4,5.2
,,,Maxim Lapierre,235441,C,2500,STL,4,1.1,1,0,1,0,0,0,1,0,0,0.0,1.1,0.0,0.0,1.1,4,4.4
,,,Patrick Dwyer,329379,RW,2500,CAR,24,0.9,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.9,0.9,24,21.6
,,,Andrew Ebbett,329726,C,2500,NYR,21,0.6,0,0,1,0,0,0,0,0,0,0.0,0.6,0.0,0.0,0.0,0,12.6
,,,Ryan Reaves,386160,RW,2500,STL,6,0.8,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.8,0.8,6,4.800000000000001
,,,Ian Cole,392959,D,2500,STL,19,1.5,1,0,0,1,0,0,0,1,0,0.0,0.0,1.5,0.0,1.5,19,28.5
,,,Tanner Glass,401047,LW,2500,NYR,7,0.7,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.7,0.7,7,4.8999999999999995
,,,Chris Porter,402054,LW,2500,STL,20,0.3,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.3,0.3,20,6.0
,,,Rob Klinkhammer,452080,LW,2500,NYR,3,1.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,3.0
,,,Carl Gunnarsson,499847,D,2500,STL,19,1.6,1,0,0,1,0,0,0,1,0,0.0,0.0,1.6,0.0,1.6,19,30.400000000000002
,,,Magnus Paajarvi,504261,LW,2500,STL,20,0.4,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.4,0.4,20,8.0
,,,Jacob Josefson,504300,C,2500,CAR,16,0.9,0,0,1,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0,14.4
,,,John Moore,504301,D,2500,NYR,14,1.4,1,0,0,1,0,0,0,1,0,0.0,0.0,1.4,0.0,1.4,14,19.599999999999998
,,,Simon Despres,504319,D,2500,NYR,5,1.6,0,0,0,1,0,0,0,0,0,0.0,0.0,1.6,0.0,0.0,0,8.0
,,,Zach Sill,521555,C,2500,NYR,21,0.3,0,0,1,0,0,0,0,0,0,0.0,0.3,0.0,0.0,0.0,0,6.3
,,,Michal Jordan,544188,D,2500,CAR,10,0.9,1,0,0,1,0,0,0,1,0,0.0,0.0,0.9,0.0,0.9,10,9.0
,,,Jon Merrill,554485,D,2500,CAR,20,1.6,0,0,0,1,0,0,0,0,0,0.0,0.0,1.6,0.0,0.0,0,32.0
,,,Mike Sislo,594026,RW,2500,CAR,11,1.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.1,0.0,0,12.100000000000001
,,,Brad Malone,594397,C,2500,CAR,23,0.5,1,0,1,0,0,0,1,0,0,0.0,0.5,0.0,0.0,0.5,23,11.5
,,,Andrej Nestrasil,597141,C,2500,CAR,23,1.2,1,0,1,0,0,0,1,0,0,0.0,1.2,0.0,0.0,1.2,23,27.599999999999998
,,,J.T. Miller,600111,C,2500,NYR,19,2.1,1,0,1,0,0,0,1,0,0,0.0,2.1,0.0,0.0,2.1,19,39.9
,,,Brian Dumoulin,654336,D,2500,NYR,5,0.8,0,0,0,1,0,0,0,0,0,0.0,0.0,0.8,0.0,0.0,0,4.0
,,,Petteri Lindbohm,681565,D,2500,STL,19,1.5,1,0,0,1,0,0,0,1,0,0.0,0.0,1.5,0.0,1.5,19,28.5
,,,Seth Helgeson,735639,D,2500,CAR,20,0.6,0,0,0,1,0,0,0,0,0,0.0,0.0,0.6,0.0,0.0,0,12.0
,,,Anthony Duclair,743259,LW,2500,NYR,7,1.5,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.5,1.5,7,10.5
