Pid,Pn,Name,S,Team,Or,Ppg,Projected
456624,C,Steven Stamkos,"8,700.00",,28.00,4.90,6.86
550752,C,Tyler Seguin,"9,000.00",,24.00,5.60,7.28
392950,C,Logan Couture,"7,800.00",,27.00,4.20,5.88
329570,C,Joe Pavelski,"7,300.00",,27.00,4.20,5.88
329656,C,Claude Giroux,"8,000.00",,23.00,5.10,6.63
296786,C,Sidney Crosby,"9,000.00",,18.00,5.00,5.00
495943,C,Tyler Bozak,"6,200.00",,29.00,4.00,4.80
268144,C,Evgeni Malkin,"8,400.00",,18.00,4.50,4.50
590939,C,Tyler Johnson,"4,900.00",,28.00,3.70,4.44
504244,C,John Tavares,"7,600.00",,14.00,4.00,4.00
230685,C,Patrice Bergeron,"5,800.00",,21.00,3.40,3.74
542226,C,Nick Bonino,"5,100.00",,22.00,3.40,3.74
170656,C,Joe Thornton,"4,700.00",,27.00,3.10,3.72
741409,C,Sean Monahan,"5,300.00",,25.00,3.20,3.52
550780,C,Brock Nelson,"4,600.00",,14.00,3.50,3.50
297132,C,Valtteri Filppula,"4,100.00",,28.00,2.80,3.36
504255,C,Brayden Schenn,"4,600.00",,23.00,3.00,3.30
326033,C,Frans Nielsen,"4,800.00",,14.00,3.30,3.30
174942,C,Jason Spezza,"5,100.00",,24.00,2.90,3.19
326131,C,Carl Soderberg,"4,900.00",,21.00,2.90,3.19
172441,C,Henrik Zetterberg,"6,000.00",,3.00,3.90,3.12
656683,C,Leo Komarov,"3,500.00",,29.00,0.00,0.00
604631,C,Craig Smith,"5,500.00",,16.00,3.10,3.10
171089,C,Henrik Sedin,"4,300.00",,22.00,2.80,3.08
570272,C,Adam Henrique,"5,100.00",,20.00,0.00,0.00
229375,C,Jeff Carter,"4,700.00",,12.00,3.00,3.00
528331,C,Cody Eakin,"4,700.00",,24.00,2.70,2.97
171367,C,Pavel Datsyuk,"5,100.00",,3.00,3.70,2.96
392944,C,Kyle Turris,"5,200.00",,19.00,2.90,2.90
600079,C,Ryan Strome,"4,300.00",,14.00,2.90,2.90
504258,C,Nazem Kadri,"4,300.00",,29.00,2.40,2.88
607594,C,Markus Granlund,"3,100.00",,25.00,2.60,2.86
329564,C,Nicklas Backstrom,"6,100.00",,10.00,3.50,2.80
393971,C,Mike Santorelli,"4,200.00",,29.00,2.30,2.76
680978,C,Cedric Paquette,"2,500.00",,28.00,0.00,0.00
