Pid,Pn,Name,S,Team,Or,Ppg,Projected,Home,Last 10 Days,Archive PPG,C,W,D,G
296723,G,Jaroslav Halak,"9,300.00",,13.00,5.90,6.87,FALSE,,5.9,FALSE,FALSE,FALSE,TRUE
297473,G,Pekka Rinne,"8,300.00",,15.00,5.70,6.79,TRUE,,5.7,FALSE,FALSE,FALSE,TRUE
326139,G,Thomas Greiss,"8,100.00",,4.00,5.50,6.73,TRUE,,5.5,FALSE,FALSE,FALSE,TRUE
176834,G,Craig Anderson,"7,500.00",,7.00,5.50,6.73,TRUE,,5.5,FALSE,FALSE,FALSE,TRUE
550766,RW,Vladimir Tarasenko,"6,700.00",,5.00,4.80,6.63,FALSE,,4.8,FALSE,TRUE,FALSE,FALSE
268143,RW,Alex Ovechkin,"9,200.00",,10.00,4.80,6.62,FALSE,,4.8,FALSE,TRUE,FALSE,FALSE
550752,C,Tyler Seguin,"9,400.00",,6.00,5.50,6.60,FALSE,TRUE,5.5,TRUE,FALSE,FALSE,FALSE
326023,G,Karri Ramo,"8,600.00",,21.00,5.10,6.57,TRUE,,5.1,FALSE,FALSE,FALSE,TRUE
446721,G,Ben Bishop,"7,900.00",,24.00,5.10,6.57,TRUE,,5.1,FALSE,FALSE,FALSE,TRUE
386808,RW,Patric Hornqvist,"7,400.00",,13.00,4.60,6.55,TRUE,,4.6,FALSE,TRUE,FALSE,FALSE
329565,RW,Phil Kessel,"8,200.00",,23.00,4.50,6.50,TRUE,,4.5,FALSE,TRUE,FALSE,FALSE
170836,G,Roberto Luongo,"8,400.00",,30.00,4.90,6.49,TRUE,,4.9,FALSE,FALSE,FALSE,TRUE
451384,G,Antti Niemi,"7,400.00",,18.00,4.70,6.43,TRUE,,4.7,FALSE,FALSE,FALSE,TRUE
454231,G,Jhonas Enroth,"8,100.00",,1.00,4.60,6.42,FALSE,,4.6,FALSE,FALSE,FALSE,TRUE
300802,G,Tuukka Rask,"8,700.00",,18.00,4.60,6.40,FALSE,,4.6,FALSE,FALSE,FALSE,TRUE
458860,LW,Jamie Benn,"7,700.00",,1.00,4.10,6.38,FALSE,,4.1,FALSE,TRUE,FALSE,FALSE
298149,G,Jimmy Howard,"7,300.00",,12.00,4.50,6.37,TRUE,,4.5,FALSE,FALSE,FALSE,TRUE
659855,RW,Filip Forsberg,"5,200.00",,15.00,4.10,6.37,TRUE,,4.1,FALSE,TRUE,FALSE,FALSE
329644,G,Jonathan Bernier,"7,800.00",,17.00,4.50,6.36,TRUE,,4.5,FALSE,FALSE,FALSE,TRUE
296786,C,Sidney Crosby,"9,000.00",,10.00,4.80,6.35,TRUE,TRUE,4.8,TRUE,FALSE,FALSE,FALSE
171352,RW,Radim Vrbata,"6,400.00",,1.00,4.00,6.34,FALSE,,4,FALSE,TRUE,FALSE,FALSE
504246,D,Victor Hedman,"5,700.00",,15.00,4.50,6.32,TRUE,,4.5,FALSE,FALSE,TRUE,FALSE
254822,D,Mark Giordano,"6,100.00",,18.00,4.50,6.31,TRUE,,4.5,FALSE,FALSE,TRUE,FALSE
329657,G,Semyon Varlamov,"7,000.00",,2.00,4.30,6.31,FALSE,,4.3,FALSE,FALSE,FALSE,TRUE
456624,C,Steven Stamkos,"8,500.00",,28.00,4.70,6.30,TRUE,TRUE,4.7,TRUE,FALSE,FALSE,FALSE
479871,G,Martin Jones,"7,200.00",,23.00,4.30,6.29,FALSE,,4.3,FALSE,FALSE,FALSE,TRUE
325162,RW,Ryan Callahan,"6,100.00",,28.00,3.90,6.28,TRUE,TRUE,3.9,FALSE,TRUE,FALSE,FALSE
392943,LW,James van Riemsdyk,"6,300.00",,6.00,3.80,6.27,TRUE,,3.8,FALSE,TRUE,FALSE,FALSE
172223,G,Cam Ward,"6,700.00",,14.00,4.20,6.26,TRUE,,4.2,FALSE,FALSE,FALSE,TRUE
329662,LW,Nick Foligno,"4,800.00",,16.00,3.80,6.26,FALSE,,3.8,FALSE,TRUE,FALSE,FALSE
268144,C,Evgeni Malkin,"8,800.00",,10.00,4.50,6.24,TRUE,TRUE,4.5,TRUE,FALSE,FALSE,FALSE
550764,LW,Jaden Schwartz,"5,200.00",,2.00,3.70,6.24,FALSE,,3.7,FALSE,TRUE,FALSE,FALSE
269241,G,Cory Schneider,"7,100.00",,5.00,4.10,6.23,FALSE,,4.1,FALSE,FALSE,FALSE,TRUE
329583,RW,Kyle Okposo,"5,800.00",,11.00,3.70,6.23,FALSE,,3.7,FALSE,TRUE,FALSE,FALSE
545448,G,Sergei Bobrovsky,"6,900.00",,26.00,4.10,6.21,FALSE,,4.1,FALSE,FALSE,FALSE,TRUE
171088,LW,Daniel Sedin,"5,700.00",,10.00,3.60,6.19,FALSE,,3.6,FALSE,TRUE,FALSE,FALSE
301959,LW,James Neal,"5,500.00",,23.00,3.60,6.18,TRUE,,3.6,FALSE,TRUE,FALSE,FALSE
456827,D,Erik Karlsson,"6,800.00",,14.00,4.10,6.17,TRUE,,4.1,FALSE,FALSE,TRUE,FALSE
170699,LW,Patrick Marleau,"6,200.00",,7.00,3.50,6.16,TRUE,,3.5,FALSE,TRUE,FALSE,FALSE
600076,LW,Gabriel Landeskog,"6,600.00",,11.00,3.50,6.16,FALSE,,3.5,FALSE,TRUE,FALSE,FALSE
