Pid,Pn,Name,S,Team,Or,Ppg,new projected,Home,Last 10,vsBackup,isStarter,Ppg - Archive,Projected,HomeXOR,HomeXPpg
300782,G,Carey Price,"9,000.00",,22.00,5.00,4.74,FALSE,,,TRUE,5.0,6.25,0,0
556379,G,Frederik Andersen,"8,300.00",,20.00,4.60,4.39,FALSE,,,TRUE,4.6,5.52,0,0
229391,RW,Corey Perry,"8,800.00",,4.00,4.50,4.24,FALSE,TRUE,,,4.5,5.40,0,0
329657,G,Semyon Varlamov,"7,700.00",,30.00,4.30,4.12,FALSE,,,TRUE,4.3,5.59,0,0
229383,C,Ryan Getzlaf,"8,000.00",,4.00,4.20,3.97,FALSE,TRUE,,,4.2,5.04,0,0
392964,LW,Max Pacioretty,"7,700.00",,5.00,4.10,3.94,FALSE,,TRUE,,4.1,4.72,0,0
543477,G,Michael Hutchinson,"8,200.00",,21.00,5.00,3.51,TRUE,,,FALSE,5.0,4.75,21,5
268147,RW,Blake Wheeler,"5,600.00",,29.00,3.40,3.48,TRUE,,,,3.4,4.42,29,3.4
597137,D,Sami Vatanen,"4,800.00",,4.00,3.60,3.44,FALSE,TRUE,,,3.6,3.60,0,0
600076,LW,Gabriel Landeskog,"7,400.00",,20.00,3.50,3.41,FALSE,,TRUE,,3.5,4.03,0,0
296054,RW,Dustin Byfuglien,"5,800.00",,29.00,2.80,3.36,TRUE,,,,2.8,3.64,29,2.8
736974,G,Antti Raanta,"9,200.00",,7.00,6.50,3.32,TRUE,,,FALSE,6.5,4.55,7,6.5
172738,C,Tomas Plekanec,"4,800.00",,10.00,3.40,3.32,FALSE,,TRUE,,3.4,3.23,0,0
741404,C,Nathan MacKinnon,"6,700.00",,6.00,3.40,3.32,FALSE,,TRUE,,3.4,3.23,0,0
329643,RW,Michael Frolik,"4,000.00",,29.00,2.50,3.30,TRUE,,,,2.5,3.25,29,2.5
504249,C,Matt Duchene,"7,000.00",,6.00,3.40,3.26,FALSE,TRUE,TRUE,,3.4,3.91,0,0
329645,C,Bryan Little,"5,100.00",,26.00,2.80,3.25,TRUE,,,,2.8,3.64,26,2.8
504252,LW,Evander Kane,"6,300.00",,23.00,3.30,3.25,TRUE,,,,3.3,4.13,23,3.3
329560,D,Erik Johnson,"5,000.00",,12.00,3.30,3.23,FALSE,,,,3.3,3.30,0,0
