Pid,Pn,Name,S,Team,Or,Ppg,Projected,Value,Home,Last 10,vsBackup,isStarting,isStarter,Ppg - Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,,Swp,Pp,I,News
446721,G,Ben Bishop,"8,700.00",TB,25.00,5.20,9.1,1.045977011,TRUE,TRUE,,TRUE,TRUE,5.2,4973,4973,4982,TB,Cls,95,,,,true,,,2
550752,C,Tyler Seguin,"9,400.00",Dal,12.00,5.50,9.075,0.9654255319,TRUE,TRUE,,,,5.5,4962,4962,4963,Dal,Mon,91,,,,true,,,1
297473,G,Pekka Rinne,"8,200.00",Nsh,22.00,5.70,8.835,1.077439024,TRUE,TRUE,,TRUE,,5.7,4980,4980,4957,Nsh,Chi,95,,,,true,,O,2
326023,G,Karri Ramo,"8,400.00",Cgy,18.00,5.20,8.58,1.021428571,TRUE,TRUE,,TRUE,TRUE,5.2,4956,4956,4971,Cgy,SJ,95,,,,true,,,2
268143,RW,Alex Ovechkin,"9,000.00",Was,23.00,4.70,7.755,0.8616666667,FALSE,TRUE,,,,4.7,4976,4964,4976,NJ,Was,93,,,,true,,,2
329565,RW,Phil Kessel,"8,000.00",Tor,12.00,4.50,7.425,0.928125,TRUE,TRUE,,,,4.5,4974,4974,4975,Tor,Van,93,,,,true,,O,2
456624,C,Steven Stamkos,"9,200.00",TB,30.00,4.80,7.2,0.7826086957,TRUE,,,,,4.8,4973,4973,4982,TB,Cls,91,,,,true,,,2
736974,G,Antti Raanta,"9,500.00",Chi,9.00,6.50,6.5,0.6842105263,FALSE,,,TRUE,TRUE,6.5,4957,4980,4957,Nsh,Chi,95,,,,true,,,2
172212,LW,Rick Nash,"8,200.00",NYR,1.00,4.80,6.48,0.7902439024,FALSE,TRUE,,,,4.8,4966,4958,4966,Det,NYR,92,,,,true,,O,2
170836,G,Roberto Luongo,"7,700.00",Fla,23.00,4.60,6.44,0.8363636364,TRUE,,FALSE,TRUE,TRUE,4.6,4979,4979,4955,Fla,Buf,95,,,,true,,O,2
325162,RW,Ryan Callahan,"6,000.00",TB,30.00,3.90,6.435,1.0725,TRUE,TRUE,,,,3.9,4973,4973,4982,TB,Cls,93,,,,true,1,O,1
590939,C,Tyler Johnson,"6,000.00",TB,30.00,3.90,6.435,1.0725,TRUE,TRUE,,,,3.9,4973,4973,4982,TB,Cls,91,,,,true,1,O,2
300802,G,Tuukka Rask,"8,000.00",Bos,24.00,4.40,6.27,0.78375,FALSE,,TRUE,TRUE,TRUE,4.4,4954,4977,4954,Ari,Bos,95,,,,true,,O,2
458860,LW,Jamie Benn,"6,500.00",Dal,21.00,4.00,6.2,0.9538461538,TRUE,TRUE,,,,4.0,4962,4962,4963,Dal,Mon,92,,,,true,1,O,1
172441,C,Henrik Zetterberg,"6,700.00",Det,17.00,3.90,6.1425,0.9167910448,TRUE,TRUE,TRUE,,,3.9,4958,4958,4966,Det,NYR,91,,,,true,1,O,2
300782,G,Carey Price,"8,800.00",Mon,13.00,5.00,6,0.6818181818,FALSE,,,TRUE,TRUE,5.0,4963,4962,4963,Dal,Mon,95,,,,true,,,2
329570,C,Joe Pavelski,"8,400.00",SJ,8.00,4.40,5.94,0.7071428571,FALSE,TRUE,,,,4.4,4971,4956,4971,Cgy,SJ,91,,,,true,,,2
236148,D,Dennis Wideman,"5,800.00",Cgy,25.00,3.80,5.89,1.015517241,TRUE,TRUE,,,,3.8,4956,4956,4971,Cgy,SJ,94,,,,true,1,O,2
550769,C,Nick Bjugstad,"5,000.00",Fla,28.00,3.30,5.8575,1.1715,TRUE,TRUE,TRUE,,,3.3,4979,4979,4955,Fla,Buf,91,,,,true,1,O,2
392964,LW,Max Pacioretty,"7,000.00",Mon,30.00,4.10,5.74,0.82,FALSE,,,,,4.1,4963,4962,4963,Dal,Mon,92,,,,true,1,O,1
171432,C,Stephen Weiss,"4,600.00",Det,17.00,3.60,5.67,1.232608696,TRUE,TRUE,TRUE,,,3.6,4958,4958,4966,Det,NYR,91,,,,true,1,O,2
392942,RW,Patrick Kane,"8,700.00",Chi,6.00,4.20,5.67,0.6517241379,FALSE,TRUE,,,,4.2,4957,4980,4957,Nsh,Chi,93,,,,true,,,2
508872,D,T.J. Brodie,"5,200.00",Cgy,25.00,3.60,5.58,1.073076923,TRUE,TRUE,,,,3.6,4956,4956,4971,Cgy,SJ,94,,,,true,1,O,1
392943,LW,James van Riemsdyk,"6,300.00",Tor,14.00,3.80,5.51,0.8746031746,TRUE,TRUE,,,,3.8,4974,4974,4975,Tor,Van,92,,,,true,1,O,2
268156,G,Devan Dubnyk,"8,100.00",Ari,19.00,5.00,5.5,0.6790123457,TRUE,,,TRUE,,5.0,4977,4977,4954,Ari,Bos,95,,,,true,,O,2
269241,G,Cory Schneider,"6,900.00",NJ,12.00,4.20,5.46,0.7913043478,TRUE,,,TRUE,TRUE,4.2,4964,4964,4976,NJ,Was,95,,,,true,1,O,2
