Pid,Pn,Name,S,Team,Or,Ppg,Ppg-Last 10,Projected,Projected-Last 10,Difference,Value,Streak,Back2Back,Home,Last 10,vsBackup,isStarting,isStarter,goalieBack2Back,Ppg-Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,Swp,Pp,I,News
329570,C,Joe Pavelski,"8,300.00",SJ,13.00,4.40,4.60,6.16,6.88,0.72,0.7421686747,4,TRUE,FALSE,TRUE,,,,,4.4,4971,4959,4971,Edm,SJ,91,,,true,,,2
229383,C,Ryan Getzlaf,"8,500.00",Anh,6.00,4.20,4.20,5.04,5.04,0,0.5929411765,3,,FALSE,TRUE,,,,,4.2,4978,4981,4978,Wpg,Anh,91,,,true,,,2
170699,LW,Patrick Marleau,"6,600.00",SJ,28.00,3.70,3.60,4.44,4.69,0.25,0.6727272727,4,TRUE,FALSE,,,,,,3.7,4971,4959,4971,Edm,SJ,92,,,true,,DTD,2
496352,G,Alex Stalock,"7,300.00",SJ,29.00,4.20,4.20,5.04,4.62,-0.42,0.6904109589,4,TRUE,FALSE,,,TRUE,FALSE,,4.2,4971,4959,4971,Edm,SJ,95,,,true,,DTD,2
392950,C,Logan Couture,"7,700.00",SJ,13.00,4.10,3.50,4.92,4.32,-0.6,0.638961039,4,FALSE,FALSE,,,TRUE,,,4.1,4971,4959,4971,Edm,SJ,91,,,true,,DTD,2
547715,RW,Tommy Wingels,"5,700.00",SJ,27.00,3.40,3.30,4.08,4.3,0.22,0.7157894737,4,TRUE,FALSE,,,,,,3.4,4971,4959,4971,Edm,SJ,93,,,true,,DTD,2
522267,LW,Tomas Tatar,"4,800.00",Det,18.00,3.10,4.30,3.1,4.23,1.13,0.6458333333,2,TRUE,FALSE,,,,,,3.1,4958,4960,4958,Car,Det,92,,,true,,DTD,2
329645,C,Bryan Little,"6,200.00",Wpg,11.00,3.20,3.70,4.16,4.17,0.01,0.6709677419,2,,TRUE,TRUE,,,,,3.2,4981,4981,4978,Wpg,Anh,91,,,true,,DTD,2
377663,C,Shawn Matthias,"3,800.00",Van,23.00,2.20,3.70,2.86,4.15,1.29,0.7526315789,-1,TRUE,FALSE,TRUE,,,,,2.2,4975,4967,4975,Ott,Van,91,,,true,,O,2
229368,C,Eric Staal,"5,700.00",Car,7.00,3.30,4.00,4.0425,3.91,-0.1325,0.7092105263,-1,TRUE,TRUE,TRUE,TRUE,,,,3.3,4960,4960,4958,Car,Det,91,,,true,,DTD,2
