projected,top10,actual,name,draftkings_id,position,salary,team,opponent-rank,ppg,home,goalie,center,defense,wing,homeXgoalie,homeXcenter,homeXdefense,homeXwing,ppgXgoalie,ppgXcenter,ppgXdefense,ppgXwing,homeXppg,homeXor,ppgXor
7.08,,,Petr Mrazek,555795,G,9000,DET,4,5.9,1,1,0,0,0,1,0,0,0,5.9,0.0,0.0,0.0,5.9,4,23.6
6.0200000000000005,,,Ryan Getzlaf,229383,C,8700,ANH,12,4.3,1,0,1,0,0,0,1,0,0,0.0,4.3,0.0,0.0,4.3,12,51.599999999999994
5.4,,,Jonathan Bernier,329644,G,8700,DET,6,4.5,0,1,0,0,0,0,0,0,0,4.5,0.0,0.0,0.0,0.0,0,27.0
6.8999999999999995,,,Frederik Andersen,556379,G,8600,ANH,27,4.6,1,1,0,0,0,1,0,0,0,4.6,0.0,0.0,0.0,4.6,27,124.19999999999999
5.640000000000001,,,Jimmy Howard,298149,G,8500,DET,4,4.7,1,1,0,0,0,1,0,0,0,4.7,0.0,0.0,0.0,4.7,4,18.8
5.28,,,Phil Kessel,329565,RW,8400,DET,4,4.4,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.4,0.0,0,17.6
3.8,,,James van Riemsdyk,392943,LW,7900,DET,1,3.8,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.8,0.0,0,3.8
4.56,,,Taylor Hall,550751,LW,7700,ANH,10,3.8,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.8,0.0,0,38.0
5.945,,,Pavel Datsyuk,171367,C,7600,DET,20,4.1,1,0,1,0,0,0,1,0,0,0.0,4.1,0.0,0.0,4.1,20,82.0
3.7000000000000006,,,James Reimer,446889,G,7600,DET,6,3.7,0,1,0,0,0,0,0,0,0,3.7,0.0,0.0,0.0,0.0,0,22.200000000000003
4.44,,,Ryan Kesler,228968,C,7300,ANH,12,3.7,1,0,1,0,0,0,1,0,0,0.0,3.7,0.0,0.0,3.7,12,44.400000000000006
4.625,,,Henrik Zetterberg,172441,C,6900,DET,20,3.7,1,0,1,0,0,0,1,0,0,0.0,3.7,0.0,0.0,3.7,20,74.0
2.8,,,Ben Scrivens,544763,G,6900,ANH,8,2.8,0,1,0,0,0,0,0,0,0,2.8,0.0,0.0,0.0,0.0,0,22.4
3.1000000000000005,,,Joffrey Lupul,172169,LW,6600,DET,1,3.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.1,0.0,0,3.1
2.3,,,Viktor Fasth,656273,G,6600,ANH,8,2.3,0,1,0,0,0,0,0,0,0,2.3,0.0,0.0,0.0,0.0,0,18.4
0.0,,,Igor Bobkov,571307,G,6500,ANH,27,0.0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,27,0.0
3.8,,,Tyler Bozak,495943,C,6300,DET,6,3.8,0,0,1,0,0,0,0,0,0,0.0,3.8,0.0,0.0,0.0,0,22.799999999999997
2.8,,,Nazem Kadri,504258,C,6000,DET,6,2.8,0,0,1,0,0,0,0,0,0,0.0,2.8,0.0,0.0,0.0,0,16.799999999999997
3.625,,,Jordan Eberle,456834,RW,5900,ANH,21,2.9,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.9,0.0,0,60.9
4.29,,,Tomas Tatar,522267,LW,5700,DET,29,3.3,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.3,3.3,29,95.69999999999999
3.6,,,Ryan Nugent-Hopkins,600075,C,5500,ANH,11,3.0,0,0,1,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0,33.0
4.08,,,Johan Franzen,296477,RW,5300,DET,17,3.4,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.4,3.4,17,57.8
2.7,,,Mike Santorelli,393971,C,5100,DET,6,2.7,0,0,1,0,0,0,0,0,0,0.0,2.7,0.0,0.0,0.0,0,16.200000000000003
4.550000000000001,,,Sami Vatanen,597137,D,4900,ANH,26,3.5,1,0,0,1,0,0,0,1,0,0.0,0.0,3.5,0.0,3.5,26,91.0
3.3800000000000003,,,Jakob Silfverberg,596832,RW,4800,ANH,26,2.6,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.6,2.6,26,67.60000000000001
2.9,,,Dion Phaneuf,229373,D,4700,DET,6,2.9,0,0,0,1,0,0,0,0,0,0.0,0.0,2.9,0.0,0.0,0,17.4
3.5000000000000004,,,Cody Franson,329287,D,4600,DET,6,3.5,0,0,0,1,0,0,0,0,0,0.0,0.0,3.5,0.0,0.0,0,21.0
3.9000000000000004,,,Matt Beleskey,450848,LW,4600,ANH,28,3.0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,3.0,3.0,28,84.0
2.88,,,David Perron,392970,LW,4500,ANH,10,2.4,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.4,0.0,0,24.0
3.48,,,Gustav Nyquist,593067,RW,4500,DET,17,2.9,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.9,2.9,17,49.3
4.125,,,Stephen Weiss,171432,C,4300,DET,20,3.3,1,0,1,0,0,0,1,0,0,0.0,3.3,0.0,0.0,3.3,20,66.0
3.25,,,Cam Fowler,550762,D,4300,ANH,26,2.5,1,0,0,1,0,0,0,1,0,0.0,0.0,2.5,0.0,2.5,26,65.0
3.3750000000000004,,,Niklas Kronwall,184050,D,4200,DET,23,2.7,1,0,0,1,0,0,0,1,0,0.0,0.0,2.7,0.0,2.7,23,62.1
2.7500000000000004,,,Darren Helm,339752,C,4200,DET,20,2.2,1,0,1,0,0,0,1,0,0,0.0,2.2,0.0,0.0,2.2,20,44.0
2.0,,,Jake Gardiner,456829,D,4200,DET,6,2.0,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0,12.0
3.77,,,Justin Abdelkader,447451,LW,4000,DET,29,2.9,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.9,2.9,29,84.1
2.8600000000000003,,,Devante Smith-Pelly,554489,RW,4000,ANH,26,2.2,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.2,2.2,26,57.2
2.88,,,Justin Schultz,660044,D,4000,ANH,18,2.4,0,0,0,1,0,0,0,0,0,0.0,0.0,2.4,0.0,0.0,0,43.199999999999996
2.7500000000000004,,,Riley Sheahan,550771,C,3900,DET,20,2.2,1,0,1,0,0,0,1,0,0,0.0,2.2,0.0,0.0,2.2,20,44.0
2.2,,,David Clarkson,296815,RW,3800,DET,4,2.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.2,0.0,0,8.8
3.3800000000000003,,,Kyle Palmieri,504309,RW,3800,ANH,26,2.6,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.6,2.6,26,67.60000000000001
2.4,,,Morgan Rielly,659812,D,3800,DET,6,2.4,0,0,0,1,0,0,0,0,0,0.0,0.0,2.4,0.0,0.0,0,14.399999999999999
2.375,,,Teddy Purcell,382185,RW,3600,ANH,21,1.9,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.9,0.0,0,39.9
2.6,,,Patrick Maroon,417017,LW,3600,ANH,28,2.0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.0,2.0,28,56.0
2.52,,,Jeff Petry,542700,D,3600,ANH,18,2.1,0,0,0,1,0,0,0,0,0,0.0,0.0,2.1,0.0,0.0,0,37.800000000000004
2.375,,,Nail Yakupov,659808,RW,3600,ANH,21,1.9,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.9,0.0,0,39.9
