projected,top10,actual,name,draftkings_id,position,salary,team,opponent-rank,ppg,home,goalie,center,defense,wing,homeXgoalie,homeXcenter,homeXdefense,homeXwing,ppgXgoalie,ppgXcenter,ppgXdefense,ppgXwing,homeXppg,homeXor,ppgXor
,,,Tyler Seguin,550752,C,9400,DAL,7,5.7,1,0,1,0,0,0,1,0,0,0.0,5.7,0.0,0.0,5.7,7,39.9
,,,Antti Raanta,736974,G,9300,NJ,15,6.7,0,1,0,0,0,0,0,0,0,6.7,0.0,0.0,0.0,0.0,0,100.5
,,,Zach Parise,229381,LW,9000,MIN,12,4.5,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,4.5,4.5,12,54.0
,,,Jaroslav Halak,296723,G,9000,MIN,19,5.6,0,1,0,0,0,0,0,0,0,5.6,0.0,0.0,0.0,0.0,0,106.39999999999999
,,,Steven Stamkos,456624,C,8800,TB,15,4.7,1,0,1,0,0,0,1,0,0,0.0,4.7,0.0,0.0,4.7,15,70.5
,,,Corey Crawford,231130,G,8700,NJ,15,5.1,0,1,0,0,0,0,0,0,0,5.1,0.0,0.0,0.0,0.0,0,76.5
,,,Alex Ovechkin,268143,RW,8700,TB,12,4.5,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.5,0.0,0,54.0
,,,Ryan Miller,172497,G,8500,MON,9,4.7,0,1,0,0,0,0,0,0,0,4.7,0.0,0.0,0.0,0.0,0,42.300000000000004
,,,Karri Ramo,326023,G,8400,TOR,4,4.9,0,1,0,0,0,0,0,0,0,4.9,0.0,0.0,0.0,0.0,0,19.6
,,,Jonathan Quick,380901,G,8400,BUF,23,5.5,0,1,0,0,0,0,0,0,0,5.5,0.0,0.0,0.0,0.0,0,126.5
,,,Patrick Kane,392942,RW,8400,NJ,22,4.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.1,0.0,0,90.19999999999999
,,,Carey Price,300782,G,8200,MON,5,4.8,1,1,0,0,0,1,0,0,0,4.8,0.0,0.0,0.0,4.8,5,24.0
