position,name,salary,GameInfo,games,points,avg,projected-high,ppd,appd,projected,projected-low,id,team
C,Adam Henrique,4500,Min@NJ 07:00PM ET,,,3.042,0,0,0.676,0,0,1,cow
C,Aleksander Barkov,3100,SJ@Fla 07:30PM ET,,,0.955,0,0,0.3080645161,0,0,2,cow
C,Alex Galchenyuk,4100,Wpg@Mon 07:30PM ET,,,2.793,0,0,0.6812195122,0,0,3,cow
C,Alexander Wennberg,2500,Cls@Was 07:00PM ET,,,1.038,0,0,0.4152,0,0,4,cow
C,Anders Lee,2900,Col@NYI 07:00PM ET,,,1.375,0,0,0.474137931,0,0,5,cow
C,Andrew Desjardins,2500,SJ@Fla 07:30PM ET,,,0.781,0,0,0.3124,0,0,6,cow
C,Andrew Shaw,3600,TB@Chi 08:30PM ET,,,2.233,0,0,0.6202777778,0,0,7,cow
C,Antoine Vermette,4800,Dal@Ari 09:00PM ET,,,2.657,0,0,0.5535416667,0,0,8,cow
C,Bo Horvat,2500,Ott@Van 10:00PM ET,,,0.875,0,0,0.35,0,0,9,cow
C,Boone Jenner,3600,Cls@Was 07:00PM ET,,,3.333,0,0,0.9258333333,0,0,10,cow
C,Boyd Gordon,3300,Edm@Nsh 08:00PM ET,,,2.033,0,0,0.6160606061,0,0,11,cow
C,Brad Richards,5200,TB@Chi 08:30PM ET,,,2.567,0,0,0.4936538462,0,0,12,cow
C,Brad Richardson,2600,Ott@Van 10:00PM ET,,,1.969,0,0,0.7573076923,0,0,13,cow
C,Brandon Sutter,4300,Pit@NYR 07:00PM ET,,,3.154,0,0,0.7334883721,0,0,14,cow
C,Brian Boyle,3300,TB@Chi 08:30PM ET,,,2.667,0,0,0.8081818182,0,0,15,cow
C,Brian Flynn,2500,Buf@StL 08:00PM ET,,,1.063,0,0,0.4252,0,0,16,cow
C,Brian Gibbons,2700,Cls@Was 07:00PM ET,,,2.125,0,0,0.787037037,0,0,17,cow
C,Brock Nelson,5000,Col@NYI 07:00PM ET,,,4,0,0,0.8,0,0,18,cow
C,Brooks Laich,2800,Cls@Was 07:00PM ET,,,0.833,0,0,0.2975,0,0,19,cow
C,Bryan Little,4700,Wpg@Mon 07:30PM ET,,,3.133,0,0,0.6665957447,0,0,20,cow
C,Calle Jarnkrok,2500,Edm@Nsh 08:00PM ET,,,0.583,0,0,0.2332,0,0,21,cow
C,Casey Cizikas,2500,Col@NYI 07:00PM ET,,,0.846,0,0,0.3384,0,0,22,cow
C,Cedric Paquette,2500,TB@Chi 08:30PM ET,,,2.643,0,0,1.0572,0,0,23,cow
C,Charlie Coyle,3900,Min@NJ 07:00PM ET,,,2.5,0,0,0.641025641,0,0,24,cow
C,Cody Eakin,3300,Dal@Ari 09:00PM ET,,,2.115,0,0,0.6409090909,0,0,25,cow
C,Cody Hodgson,3600,Buf@StL 08:00PM ET,,,1.188,0,0,0.33,0,0,26,cow
C,Cody McCormick,2500,Buf@StL 08:00PM ET,,,1.094,0,0,0.4376,0,0,27,cow
C,Colin Wilson,3100,Edm@Nsh 08:00PM ET,,,1.643,0,0,0.53,0,0,28,cow
C,Colton Sceviour,2800,Dal@Ari 09:00PM ET,,,1.154,0,0,0.4121428571,0,0,29,cow
C,Craig Smith,4800,Edm@Nsh 08:00PM ET,,,2.75,0,0,0.5729166667,0,0,30,cow
C,Curtis Lazar,4000,Ott@Van 10:00PM ET,,,1.731,0,0,0.43275,0,0,31,cow
C,Dana Tyrell,2500,Cls@Was 07:00PM ET,,,0.5,0,0,0.2,0,0,32,cow
C,Daniel Briere,3100,Col@NYI 07:00PM ET,,,1.292,0,0,0.4167741935,0,0,33,cow
C,David Backes,4900,Buf@StL 08:00PM ET,,,2.615,0,0,0.5336734694,0,0,34,cow
C,David Desharnais,3400,Wpg@Mon 07:30PM ET,,,1.813,0,0,0.5332352941,0,0,35,cow
C,David Legwand,3400,Ott@Van 10:00PM ET,,,1.714,0,0,0.5041176471,0,0,36,cow
C,Derek MacKenzie,2500,SJ@Fla 07:30PM ET,,,1.458,0,0,0.5832,0,0,37,cow
C,Derek Roy,3500,Edm@Nsh 08:00PM ET,,,2.193,0,0,0.6265714286,0,0,38,cow
C,Derek Stepan,4800,Pit@NYR 07:00PM ET,,,1.75,0,0,0.3645833333,0,0,39,cow
C,Derick Brassard,4900,Pit@NYR 07:00PM ET,,,3.286,0,0,0.6706122449,0,0,40,cow
C,Dominic Moore,2900,Pit@NYR 07:00PM ET,,,1.75,0,0,0.6034482759,0,0,41,cow
C,Erik Haula,2500,Min@NJ 07:00PM ET,,,1.125,0,0,0.45,0,0,42,cow
C,Evgeni Malkin,8000,Pit@NYR 07:00PM ET,,,4.477,0,0,0.559625,0,0,43,cow
C,Evgeny Kuznetsov,3900,Cls@Was 07:00PM ET,,,1.823,0,0,0.4674358974,0,0,44,cow
C,Frans Nielsen,4700,Col@NYI 07:00PM ET,,,3.479,0,0,0.740212766,0,0,45,cow
C,Henrik Sedin,4000,Ott@Van 10:00PM ET,,,2.938,0,0,0.7345,0,0,46,cow
C,Jacob Josefson,2500,Min@NJ 07:00PM ET,,,1.244,0,0,0.4976,0,0,47,cow
C,James Sheppard,3300,SJ@Fla 07:30PM ET,,,2.3,0,0,0.696969697,0,0,48,cow
C,Jason Spezza,5300,Dal@Ari 09:00PM ET,,,3.229,0,0,0.609245283,0,0,49,cow
C,Jay Beagle,2500,Cls@Was 07:00PM ET,,,1.444,0,0,0.5776,0,0,50,cow
C,Jim Slater,2500,Wpg@Mon 07:30PM ET,,,0.533,0,0,0.2132,0,0,51,cow
C,Joakim Lindstrom,2500,Buf@StL 08:00PM ET,,,1.131,0,0,0.4524,0,0,52,cow
C,Joe Pavelski,7600,SJ@Fla 07:30PM ET,,,4.588,0,0,0.6036842105,0,0,53,cow
C,Joe Thornton,5200,SJ@Fla 07:30PM ET,,,3.281,0,0,0.6309615385,0,0,54,cow
C,Joe Vitale,2500,Dal@Ari 09:00PM ET,,,1.214,0,0,0.4856,0,0,55,cow
C,John Mitchell,2900,Col@NYI 07:00PM ET,,,1.667,0,0,0.5748275862,0,0,56,cow
C,John Tavares,7200,Col@NYI 07:00PM ET,,,4.336,0,0,0.6022222222,0,0,57,cow
C,Jonathan Toews,6100,TB@Chi 08:30PM ET,,,3.567,0,0,0.5847540984,0,0,58,cow
C,Jori Lehtera,3100,Buf@StL 08:00PM ET,,,2.679,0,0,0.8641935484,0,0,59,cow
C,Jussi Jokinen,3900,SJ@Fla 07:30PM ET,,,2.125,0,0,0.5448717949,0,0,60,cow
C,Kyle Brodziak,3200,Min@NJ 07:00PM ET,,,2.063,0,0,0.6446875,0,0,61,cow
C,Kyle Chipchura,2500,Dal@Ari 09:00PM ET,,,0.833,0,0,0.3332,0,0,62,cow
C,Kyle Turris,4700,Ott@Van 10:00PM ET,,,2.729,0,0,0.5806382979,0,0,63,cow
C,Lars Eller,3700,Wpg@Mon 07:30PM ET,,,2.1,0,0,0.5675675676,0,0,64,cow
C,Leon Draisaitl,3300,Edm@Nsh 08:00PM ET,,,1.5,0,0,0.4545454545,0,0,65,cow
C,Liam O'Brien,2500,Cls@Was 07:00PM ET,,,0.893,0,0,0.3572,0,0,66,cow
C,Logan Couture,7400,SJ@Fla 07:30PM ET,,,4.619,0,0,0.6241891892,0,0,67,cow
C,Manny Malhotra,2500,Wpg@Mon 07:30PM ET,,,0.833,0,0,0.3332,0,0,68,cow
C,Marcel Goc,2500,Pit@NYR 07:00PM ET,,,1.115,0,0,0.446,0,0,69,cow
C,Marcus Johansson,4800,Cls@Was 07:00PM ET,,,3,0,0,0.625,0,0,70,cow
C,Marcus Kruger,2600,TB@Chi 08:30PM ET,,,1.733,0,0,0.6665384615,0,0,71,cow
C,Mark Arcobello,3600,Edm@Nsh 08:00PM ET,,,2.2,0,0,0.6111111111,0,0,72,cow
C,Mark Scheifele,4100,Wpg@Mon 07:30PM ET,,,2.1,0,0,0.512195122,0,0,73,cow
C,Martin Hanzal,4300,Dal@Ari 09:00PM ET,,,2.5,0,0,0.5813953488,0,0,74,cow
C,Mathieu Perreault,3200,Wpg@Mon 07:30PM ET,,,1.413,0,0,0.4415625,0,0,75,cow
C,Matt Cullen,3300,Edm@Nsh 08:00PM ET,,,2.333,0,0,0.706969697,0,0,76,cow
C,Matt Duchene,5400,Col@NYI 07:00PM ET,,,3.2,0,0,0.5925925926,0,0,77,cow
