ID,Position,Name,Salary,GameInfo,AvgPointsPerGame
3,W,Alex Ovechkin,9300,Was@StL 08:00PM ET,5.169
10,W,Jakub Voracek,8600,Phi@Mon 07:00PM ET,5.5
12,W,Phil Kessel,8400,Tor@Buf 07:00PM ET,5.029
19,W,Patric Hornqvist,8100,NYR@Pit 07:00PM ET,5.133
21,W,Filip Forsberg,8000,Wpg@Nsh 07:00PM ET,4.813
22,W,Rick Nash,7900,NYR@Pit 07:00PM ET,5.013
23,W,Vladimir Tarasenko,7900,Was@StL 08:00PM ET,5.544
29,W,Max Pacioretty,7600,Phi@Mon 07:00PM ET,4.176
33,W,James van Riemsdyk,7100,Tor@Buf 07:00PM ET,3.794
36,W,Blake Wheeler,6800,Wpg@Nsh 07:00PM ET,3.759
37,W,Jaden Schwartz,6800,Was@StL 08:00PM ET,4.281
38,W,Chris Kunitz,6700,NYR@Pit 07:00PM ET,3.933
39,W,James Neal,6700,Wpg@Nsh 07:00PM ET,4.25
46,W,Scott Hartnell,6500,SJ@Cls 07:00PM ET,4.313
49,W,Ryan Callahan,6400,NYI@TB 07:00PM ET,3.514
59,W,Kyle Okposo,6200,NYI@TB 07:00PM ET,4.163
60,W,Nick Foligno,6200,SJ@Cls 07:00PM ET,4.467
69,W,Patrick Marleau,6100,SJ@Cls 07:00PM ET,3.678
75,W,Cam Atkinson,5900,SJ@Cls 07:00PM ET,3.9
77,W,Wayne Simmonds,5700,Phi@Mon 07:00PM ET,3.633
79,W,Alexander Steen,5600,Was@StL 08:00PM ET,3.263
84,W,Michael Cammalleri,5400,Col@NJ 07:00PM ET,3.654
85,W,Andrew Ladd,5400,Wpg@Nsh 07:00PM ET,3.324
91,W,Mike Hoffman,5200,Ott@Cgy 10:00PM ET,2.9
93,W,Dustin Byfuglien,5100,Wpg@Nsh 07:00PM ET,2.588
97,W,Evander Kane,5100,Wpg@Nsh 07:00PM ET,2.578
98,W,Gabriel Landeskog,5100,Col@NJ 07:00PM ET,2.861
101,W,Troy Brouwer,5000,Was@StL 08:00PM ET,2.969
105,W,Mats Zuccarello,5000,NYR@Pit 07:00PM ET,2.586
106,W,Martin St. Louis,4900,NYR@Pit 07:00PM ET,2.844
107,W,Clarke MacArthur,4900,Ott@Cgy 10:00PM ET,3.406
108,W,Joel Ward,4900,Was@StL 08:00PM ET,2.938
111,W,Ondrej Palat,4900,NYI@TB 07:00PM ET,2.941
112,W,Jaromir Jagr,4800,Col@NJ 07:00PM ET,2.618
113,W,Bobby Ryan,4800,Ott@Cgy 10:00PM ET,2.867
119,W,Brendan Gallagher,4700,Phi@Mon 07:00PM ET,2.806
121,W,Nikita Kucherov,4700,NYI@TB 07:00PM ET,3.394
127,W,Tommy Wingels,4600,SJ@Cls 07:00PM ET,3.472
131,W,Johnny Gaudreau,4500,Ott@Cgy 10:00PM ET,2.647
132,W,Michael Ryder,4400,Col@NJ 07:00PM ET,2.471
133,W,Drew Stafford,4400,Tor@Buf 07:00PM ET,2.417
137,W,Pascal Dupuis,4300,NYR@Pit 07:00PM ET,3.567
138,W,Jiri Hudler,4300,Ott@Cgy 10:00PM ET,2.647
143,W,Andre Burakovsky,4300,Was@StL 08:00PM ET,2.656
145,W,Alex Chiasson,4200,Ott@Cgy 10:00PM ET,2.692
149,W,Chris Kreider,4100,NYR@Pit 07:00PM ET,2.594
150,W,Carl Hagelin,4100,NYR@Pit 07:00PM ET,2.281
151,W,Jarome Iginla,4000,Col@NJ 07:00PM ET,2.333
154,W,Eric Fehr,4000,Was@StL 08:00PM ET,2.121
155,W,Curtis Glencross,4000,Ott@Cgy 10:00PM ET,2.306
158,W,Matt Moulson,4000,Tor@Buf 07:00PM ET,1.789
159,W,David Jones,4000,Ott@Cgy 10:00PM ET,2.167
162,W,Ryan O'Reilly,4000,Col@NJ 07:00PM ET,2.5
164,W,Michael Raffl,4000,Phi@Mon 07:00PM ET,3.038
165,W,Jonathan Drouin,4000,NYI@TB 07:00PM ET,2.077
166,W,Lee Stempniak,3900,NYR@Pit 07:00PM ET,2.388
169,W,Michael Frolik,3900,Wpg@Nsh 07:00PM ET,2.382
170,W,Alex Tanguay,3800,Col@NJ 07:00PM ET,2.606
172,W,Milan Michalek,3800,Ott@Cgy 10:00PM ET,1.969
173,W,Josh Bailey,3800,NYI@TB 07:00PM ET,2.5
176,W,P.A. Parenteau,3700,Phi@Mon 07:00PM ET,2.182
179,W,Jamie McGinn,3700,Col@NJ 07:00PM ET,2.028
183,W,Mark Stone,3700,Ott@Cgy 10:00PM ET,2.533
192,W,Matt Read,3600,Phi@Mon 07:00PM ET,1.933
195,W,Steve Downie,3500,NYR@Pit 07:00PM ET,2.1
196,W,Nikolai Kulemin,3500,NYI@TB 07:00PM ET,2.438
199,W,Tomas Hertl,3500,SJ@Cls 07:00PM ET,1.556
203,W,Kevin Hayes,3400,NYR@Pit 07:00PM ET,1.962
204,W,Lance Bouma,3400,Ott@Cgy 10:00PM ET,2.028
214,W,Tom Wilson,3300,Was@StL 08:00PM ET,2.5
218,W,Brian Gionta,3200,Tor@Buf 07:00PM ET,1.428
221,W,Daniel Winnik,3200,Tor@Buf 07:00PM ET,2.033
222,W,Tyler Kennedy,3200,SJ@Cls 07:00PM ET,2.5
224,W,Jiri Sekac,3200,Phi@Mon 07:00PM ET,2
229,W,Martin Havlat,3000,Col@NJ 07:00PM ET,1.313
231,W,David Clarkson,3000,Tor@Buf 07:00PM ET,1.912
236,W,Richard Panik,3000,Tor@Buf 07:00PM ET,1.5
255,W,Tuomo Ruutu,2800,Col@NJ 07:00PM ET,1.281
256,W,Steve Bernier,2800,Col@NJ 07:00PM ET,1.5
258,W,Jack Skille,2800,SJ@Cls 07:00PM ET,1.786
262,W,Matt Calvert,2800,SJ@Cls 07:00PM ET,1.389
264,W,Sven Baertschi,2800,Ott@Cgy 10:00PM ET,1.333
265,W,Damien Brunner,2800,Col@NJ 07:00PM ET,1.708
270,W,Blake Comeau,2700,NYR@Pit 07:00PM ET,2.133
272,W,Chris Stewart,2700,Tor@Buf 07:00PM ET,1.583
284,W,Cal Clutterbuck,2600,NYI@TB 07:00PM ET,1.5
285,W,Dale Weise,2600,Phi@Mon 07:00PM ET,1.679
286,W,Alex Killorn,2600,NYI@TB 07:00PM ET,1.545
287,W,Dainius Zubrus,2500,Col@NJ 07:00PM ET,1.088
294,W,Brenden Morrow,2500,NYI@TB 07:00PM ET,0.5
295,W,Chris Neil,2500,Ott@Cgy 10:00PM ET,1
296,W,Craig Adams,2500,NYR@Pit 07:00PM ET,0.667
297,W,Jason Chimera,2500,Was@StL 08:00PM ET,1.031
299,W,Eric Nystrom,2500,Wpg@Nsh 07:00PM ET,1.406
300,W,Jordin Tootoo,2500,Col@NJ 07:00PM ET,0.55
303,W,Brian McGrattan,2500,Ott@Cgy 10:00PM ET,0.308
314,W,Chris Thorburn,2500,Wpg@Nsh 07:00PM ET,0.531
319,W,Brandon Prust,2500,Phi@Mon 07:00PM ET,0.912
321,W,Devin Setoguchi,2500,Ott@Cgy 10:00PM ET,0.615
323,W,Adam Cracknell,2500,SJ@Cls 07:00PM ET,0.688
324,W,Adam Burish,2500,SJ@Cls 07:00PM ET,1.471
325,W,Patrick Kaleta,2500,Tor@Buf 07:00PM ET,0
328,W,Cody McLeod,2500,Col@NJ 07:00PM ET,1.028
329,W,John Scott,2500,SJ@Cls 07:00PM ET,0.5
330,W,Marc-Andre Cliche,2500,Col@NJ 07:00PM ET,0.694
331,W,Torrey Mitchell,2500,Tor@Buf 07:00PM ET,1.139
333,W,Jared Boll,2500,SJ@Cls 07:00PM ET,0.531
