Id,Position,Name,Salary,GameInfo,AvgPointsPerGame
2,C,Tyler Seguin,9000,Dal@Chi 07:00PM ET,5.618
7,C,Pavel Datsyuk,8100,Mon@Det 07:00PM ET,4.667
17,C,Joe Pavelski,7200,SJ@Car 05:00PM ET,4.284
13,C,Ryan Getzlaf,7600,Fla@Anh 08:00PM ET,4.235
19,C,Logan Couture,7000,SJ@Car 05:00PM ET,4.179
42,C,Henrik Zetterberg,5900,Mon@Det 07:00PM ET,4
23,C,Ryan Kesler,6700,Fla@Anh 08:00PM ET,3.761
51,C,Tomas Plekanec,5300,Mon@Det 07:00PM ET,3.722
27,C,Ryan Nugent-Hopkins,6400,Ari@Edm 09:00PM ET,3.633
32,C,Jonathan Toews,6200,Dal@Chi 07:00PM ET,3.412
48,C,Joe Thornton,5400,SJ@Car 05:00PM ET,3.289
45,C,Jason Spezza,5700,Dal@Chi 07:00PM ET,3.188
93,C,Alex Galchenyuk,4300,Mon@Det 07:00PM ET,3.078
50,C,Martin Hanzal,5400,Ari@Edm 09:00PM ET,3.033
75,C,Riley Nash,4600,SJ@Car 05:00PM ET,2.938
90,C,Bryan Little,4300,Wpg@Min 05:00PM ET,2.722
87,C,Elias Lindholm,4400,SJ@Car 05:00PM ET,2.719
53,C,Eric Staal,5300,SJ@Car 05:00PM ET,2.692
98,C,Antoine Vermette,4100,Ari@Edm 09:00PM ET,2.659
117,C,Charlie Coyle,3600,Wpg@Min 05:00PM ET,2.656
54,C,Brad Richards,5200,Dal@Chi 07:00PM ET,2.647
82,C,Jussi Jokinen,4500,Fla@Anh 08:00PM ET,2.5
74,C,Lars Eller,4600,Mon@Det 07:00PM ET,2.389
88,C,Mikko Koivu,4300,Wpg@Min 05:00PM ET,2.388
108,C,Vincent Trocheck,3900,Fla@Anh 08:00PM ET,2.333
102,C,Nick Bjugstad,4100,Fla@Anh 08:00PM ET,2.214
132,C,Kyle Brodziak,3300,Wpg@Min 05:00PM ET,2.182
104,C,Mark Arcobello,4000,Ari@Edm 09:00PM ET,2.176
83,C,Mark Scheifele,4500,Wpg@Min 05:00PM ET,2.167
137,C,Mikael Granlund,3300,Wpg@Min 05:00PM ET,2.156
135,C,David Desharnais,3300,Mon@Det 07:00PM ET,2.15
110,C,Sam Gagner,3800,Ari@Edm 09:00PM ET,2.041
143,C,Andrew Shaw,3200,Dal@Chi 07:00PM ET,2.029
146,C,Cody Eakin,3100,Dal@Chi 07:00PM ET,1.967
147,C,Victor Rask,3100,SJ@Car 05:00PM ET,1.938
165,C,Ryan Carter,2900,Wpg@Min 05:00PM ET,1.938
166,C,James Sheppard,2900,SJ@Car 05:00PM ET,1.923
129,C,Boyd Gordon,3300,Ari@Edm 09:00PM ET,1.912
159,C,Marcus Kruger,3000,Dal@Chi 07:00PM ET,1.882
109,C,Andrew Cogliano,3800,Fla@Anh 08:00PM ET,1.833
150,C,Shawn Horcoff,3000,Dal@Chi 07:00PM ET,1.794
125,C,Darren Helm,3400,Mon@Det 07:00PM ET,1.75
196,C,Vernon Fiddler,2500,Dal@Chi 07:00PM ET,1.735
230,C,Joe Vitale,2500,Ari@Edm 09:00PM ET,1.706
184,C,Derek MacKenzie,2600,Fla@Anh 08:00PM ET,1.679
264,C,Luke Glendening,2500,Mon@Det 07:00PM ET,1.656
163,C,Leon Draisaitl,3000,Ari@Edm 09:00PM ET,1.559
169,C,Riley Sheahan,2900,Mon@Det 07:00PM ET,1.531
138,C,Aleksander Barkov,3300,Fla@Anh 08:00PM ET,1.423
207,C,Nate Thompson,2500,Fla@Anh 08:00PM ET,1.417
259,C,William Karlsson,2500,Fla@Anh 08:00PM ET,1.388
179,C,Mathieu Perreault,2700,Wpg@Min 05:00PM ET,1.317
185,C,Colton Sceviour,2600,Dal@Chi 07:00PM ET,1.281
266,C,Erik Haula,2500,Wpg@Min 05:00PM ET,1.267
256,C,Rickard Rakell,2500,Fla@Anh 08:00PM ET,1.143
233,C,Joakim Andersson,2500,Mon@Det 07:00PM ET,1.133
149,C,Manny Malhotra,3000,Mon@Det 07:00PM ET,0.972
200,C,Jay McClement,2500,SJ@Car 05:00PM ET,0.969
204,C,Kyle Chipchura,2500,Ari@Edm 09:00PM ET,0.909
251,C,Andrej Nestrasil,2500,Mon@Det 07:00PM ET,0.9
232,C,Andrew Desjardins,2500,SJ@Car 05:00PM ET,0.789
249,C,Brad Malone,2500,SJ@Car 05:00PM ET,0.571
234,C,Jordan Schroeder,2500,Wpg@Min 05:00PM ET,0.5
