Id,Position,Name,Salary,GameInfo,AvgPointsPerGame
1,SF,LeBron James,11000,Den@Cle 07:00PM ET,49.031
2,PF,Anthony Davis,10900,NO@Por 10:00PM ET,55.625
3,PG,Chris Paul,10300,Chi@LAC 10:30PM ET,46.938
4,SG,James Harden,10300,Hou@Mem 08:00PM ET,50.306
5,PF,Blake Griffin,9700,Chi@LAC 10:30PM ET,38.563
6,PF,LaMarcus Aldridge,9600,NO@Por 10:00PM ET,38.806
7,C,Dwight Howard,9000,Hou@Mem 08:00PM ET,44.094
8,PF,Kevin Love,8800,Den@Cle 07:00PM ET,37.063
9,C,Chris Bosh,8500,Mia@Bkn 07:30PM ET,40.833
10,PG,Damian Lillard,8500,NO@Por 10:00PM ET,39.6
11,PF,Pau Gasol,8400,Chi@LAC 10:30PM ET,40.35
12,PG,Rajon Rondo,8400,Pho@Bos 07:30PM ET,42.25
13,PF,Tim Duncan,8300,Phi@SA 08:30PM ET,37.625
14,C,Nikola Vucevic,8100,Orl@Det 07:30PM ET,40.341
15,C,Al Jefferson,8000,Dal@Cha 07:00PM ET,35.85
16,C,Marc Gasol,7900,Hou@Mem 08:00PM ET,37.425
17,PG,Kyrie Irving,7900,Den@Cle 07:00PM ET,37.25
18,PF,Zach Randolph,7700,Hou@Mem 08:00PM ET,36
19,C,DeAndre Jordan,7600,Chi@LAC 10:30PM ET,33.594
20,SF,Josh Smith,7500,Orl@Det 07:30PM ET,33.875
21,SG,Jimmy Butler,7500,Chi@LAC 10:30PM ET,38.188
22,PG,Ty Lawson,7400,Den@Cle 07:00PM ET,32.893
23,PG,Jrue Holiday,7400,NO@Por 10:00PM ET,33.281
24,PF,Dirk Nowitzki,7300,Dal@Cha 07:00PM ET,32.7
25,SG,Dwyane Wade,7300,Mia@Bkn 07:30PM ET,36.688
26,PG,Deron Williams,7200,Mia@Bkn 07:30PM ET,33.75
27,PG,Kemba Walker,7200,Dal@Cha 07:00PM ET,31.1
28,SG,Tyreke Evans,7200,NO@Por 10:00PM ET,37.938
29,PF,Greg Monroe,7200,Orl@Det 07:30PM ET,35.688
30,SF,Kawhi Leonard,7200,Phi@SA 08:30PM ET,31.125
31,C,Joakim Noah,7100,Chi@LAC 10:30PM ET,29.875
32,PG,Brandon Jennings,7100,Orl@Det 07:30PM ET,31.525
33,PF,Jared Sullinger,7100,Pho@Bos 07:30PM ET,33.531
34,PG,Mike Conley,7000,Hou@Mem 08:00PM ET,31.1
35,SF,Nicolas Batum,7000,NO@Por 10:00PM ET,30.5
36,SF,Tobias Harris,7000,Orl@Det 07:30PM ET,33.614
37,SG,Monta Ellis,6900,Dal@Cha 07:00PM ET,30.6
38,PG,Tony Parker,6800,Phi@SA 08:30PM ET,27.472
39,PG,Michael Carter-Williams,6800,Phi@SA 08:30PM ET,31.625
40,C,Brook Lopez,6700,Mia@Bkn 07:30PM ET,28.321
41,PG,Derrick Rose,6700,Chi@LAC 10:30PM ET,30.6
42,C,Andre Drummond,6700,Orl@Det 07:30PM ET,26.8
43,SG,Joe Johnson,6600,Mia@Bkn 07:30PM ET,34.083
44,SG,Lance Stephenson,6600,Dal@Cha 07:00PM ET,30.325
45,SF,Chandler Parsons,6400,Dal@Cha 07:00PM ET,26
46,SG,Eric Bledsoe,6400,Pho@Bos 07:30PM ET,29.95
47,C,Kelly Olynyk,6400,Pho@Bos 07:30PM ET,28.75
48,C,Tyson Chandler,6300,Dal@Cha 07:00PM ET,30.05
49,SF,Trevor Ariza,6300,Hou@Mem 08:00PM ET,30.806
50,PF,Terrence Jones,6300,Hou@Mem 08:00PM ET,31.25
51,SF,Luol Deng,6200,Mia@Bkn 07:30PM ET,25.472
52,SF,Jeff Green,6200,Pho@Bos 07:30PM ET,31.5
53,PG,Tony Wroten,6200,Phi@SA 08:30PM ET,39.056
54,PF,Markieff Morris,6100,Pho@Bos 07:30PM ET,27.825
55,SG,Victor Oladipo,6100,Orl@Det 07:30PM ET,28.75
56,PF,Kenneth Faried,6000,Den@Cle 07:00PM ET,25.563
57,SG,Wesley Matthews,5900,NO@Por 10:00PM ET,28.45
58,C,Robin Lopez,5800,NO@Por 10:00PM ET,26.3
59,PG,Goran Dragic,5800,Pho@Bos 07:30PM ET,24.675
60,PG,Isaiah Thomas,5500,Pho@Bos 07:30PM ET,27.25
61,PF,Ryan Anderson,5400,NO@Por 10:00PM ET,27.094
62,C,Omer Asik,5400,NO@Por 10:00PM ET,27.188
63,PG,Mario Chalmers,5300,Mia@Bkn 07:30PM ET,23.583
64,C,Henry Sims,5300,Phi@SA 08:30PM ET,20
65,SG,Evan Fournier,5300,Orl@Det 07:30PM ET,25.568
66,SG,Jamal Crawford,5200,Chi@LAC 10:30PM ET,26
67,PF,Channing Frye,5200,Orl@Det 07:30PM ET,22.85
68,SG,Manu Ginobili,5000,Phi@SA 08:30PM ET,25.281
69,C,Anderson Varejao,5000,Den@Cle 07:00PM ET,22.688
