Id,Position,Name,Salary,GameInfo,OPRK,AvgPointsPerGame,Expected Points
15,D,Mark Giordano,8000,Anh@Cgy 09:00PM ET,16,5,5
32,W,Corey Perry,7100,Anh@Cgy 09:00PM ET,21,4.893,5.8716
31,C,Ryan Getzlaf,7100,Anh@Cgy 09:00PM ET,21,4,4.8
43,C,Ryan Kesler,6900,Anh@Cgy 09:00PM ET,12,3.589,3.589
152,D,T.J. Brodie,4500,Anh@Cgy 09:00PM ET,16,3.526,3.526
180,D,Dennis Wideman,4100,Anh@Cgy 09:00PM ET,16,3.306,3.306
117,D,Sami Vatanen,5200,Anh@Cgy 09:00PM ET,5,3.263,2.6104
112,C,Sean Monahan,5300,Anh@Cgy 09:00PM ET,10,3.184,2.5472
166,D,Kris Russell,4300,Anh@Cgy 09:00PM ET,16,2.974,2.974
250,C,Markus Granlund,3300,Anh@Cgy 09:00PM ET,10,2.938,2.3504
146,W,Matt Beleskey,4600,Anh@Cgy 09:00PM ET,6,2.868,2.2944
164,W,Jiri Hudler,4300,Anh@Cgy 09:00PM ET,15,2.556,2.556
156,W,Johnny Gaudreau,4500,Anh@Cgy 09:00PM ET,3,2.528,2.0224
4,C,Tyler Seguin,9000,Car@Dal 08:30PM ET,13,5.389,5.389
50,D,Justin Faulk,6700,Car@Dal 08:30PM ET,29,3.765,5.271
59,W,Jamie Benn,6400,Car@Dal 08:30PM ET,16,3.706,3.706
103,C,Jason Spezza,5400,Car@Dal 08:30PM ET,13,3.206,3.206
165,D,Trevor Daley,4300,Car@Dal 08:30PM ET,19,3.111,3.111
87,W,Jeff Skinner,5900,Car@Dal 08:30PM ET,25,2.962,3.5544
174,C,Riley Nash,4200,Car@Dal 08:30PM ET,27,2.794,3.9116
173,W,Jiri Tlusty,4200,Car@Dal 08:30PM ET,25,2.794,3.3528
114,C,Eric Staal,5200,Car@Dal 08:30PM ET,27,2.714,3.7996
191,C,Elias Lindholm,4100,Car@Dal 08:30PM ET,27,2.706,3.7884
189,W,Antoine Roussel,4100,Car@Dal 08:30PM ET,16,2.639,2.639
36,G,Sergei Bobrovsky,7100,Det@Cls 07:00PM ET,16,4.622,4.622
80,W,Nick Foligno,6100,Det@Cls 07:00PM ET,1,4.344,3.4752
49,C,Ryan Johansen,6700,Det@Cls 07:00PM ET,6,4.265,3.412
30,C,Pavel Datsyuk,7100,Det@Cls 07:00PM ET,29,4.25,5.95
42,W,Scott Hartnell,6900,Det@Cls 07:00PM ET,1,4.206,3.3648
28,G,Jimmy Howard,7200,Det@Cls 07:00PM ET,24,4.2,5.04
61,W,Cam Atkinson,6400,Det@Cls 07:00PM ET,6,4,3.2
52,W,Johan Franzen,6600,Det@Cls 07:00PM ET,28,3.955,5.537
83,C,Henrik Zetterberg,5900,Det@Cls 07:00PM ET,29,3.941,5.5174
118,C,Boone Jenner,5200,Det@Cls 07:00PM ET,6,3.333,2.6664
90,D,James Wisniewski,5700,Det@Cls 07:00PM ET,9,3.286,2.6288
184,W,Justin Abdelkader,4100,Det@Cls 07:00PM ET,19,3.088,3.088
129,W,Gustav Nyquist,4900,Det@Cls 07:00PM ET,28,3.012,4.2168
130,D,Niklas Kronwall,4800,Det@Cls 07:00PM ET,22,2.971,3.5652
97,W,Tyler Toffoli,5600,Fla@LA 10:30PM ET,3,3.972,3.1776
64,D,Jake Muzzin,6300,Fla@LA 10:30PM ET,23,3.5,4.2
91,D,Drew Doughty,5700,Fla@LA 10:30PM ET,23,3.278,3.9336
123,C,Jeff Carter,5000,Fla@LA 10:30PM ET,2,3.178,2.5424
187,C,Nick Bjugstad,4100,Fla@LA 10:30PM ET,19,2.933,2.933
145,D,Alec Martinez,4600,Fla@LA 10:30PM ET,23,2.917,3.5004
126,D,Aaron Ekblad,5000,Fla@LA 10:30PM ET,1,2.867,2.2936
132,W,Jimmy Hayes,4800,Fla@LA 10:30PM ET,7,2.727,2.1816
149,C,Jussi Jokinen,4500,Fla@LA 10:30PM ET,19,2.7,2.7
238,W,Brad Boyes,3400,Fla@LA 10:30PM ET,7,2.7,2.16
283,C,Trevor Lewis,3000,Fla@LA 10:30PM ET,2,2.667,2.1336
204,C,Vincent Trocheck,3900,Fla@LA 10:30PM ET,19,2.643,2.643
46,W,Blake Wheeler,6800,NJ@Wpg 08:00PM ET,24,3.732,4.4784
89,W,Michael Cammalleri,5700,NJ@Wpg 08:00PM ET,18,3.393,3.393
127,W,Andrew Ladd,4900,NJ@Wpg 08:00PM ET,4,3.237,2.5896
100,W,Evander Kane,5500,NJ@Wpg 08:00PM ET,4,3.064,2.4512
