ID,Position,Name,Salary,GameInfo,OPNK,AvgPointsPerGame,Expected Points,
35,D,Mark Fayne,3000,Van@Edm 08:00PM ET,6,2.056,1.6448,0.0005482666667
42,D,Nikita Nikitin,3400,Van@Edm 08:00PM ET,6,2.2,1.76,0.0005176470588
29,D,Justin Schultz,4100,Van@Edm 08:00PM ET,6,2.583,2.0664,0.000504
27,D,Jeff Petry,2900,Van@Edm 08:00PM ET,6,1.676,1.3408,0.0004623448276
45,G,Ben Scrivens,6400,Van@Edm 08:00PM ET,6,3.2,2.56,0.0004
20,D,Andrew Ference,2700,Van@Edm 08:00PM ET,6,1.267,1.0136,0.0003754074074
30,D,Keith Aulie,2500,Van@Edm 08:00PM ET,6,1,0.8,0.00032
37,D,Martin Marincin,2500,Van@Edm 08:00PM ET,6,0.944,0.7552,0.00030208
53,G,Viktor Fasth,6400,Van@Edm 08:00PM ET,6,2.533,0,0
40,D,Nick Schultz,2700,Phi@NYR 08:00PM ET,8,1.9,1.52,0.000562962963
36,D,Mark Streit,4700,Phi@NYR 08:00PM ET,8,3.188,2.5504,0.0005426382979
41,D,Nicklas Grossmann,2700,Phi@NYR 08:00PM ET,8,1.625,1.3,0.0004814814815
39,D,Michael Del Zotto,4600,Phi@NYR 08:00PM ET,8,2.656,2.1248,0.0004619130435
22,D,Carlo Colaiacovo,2800,Phi@NYR 08:00PM ET,8,1.5,1.2,0.0004285714286
21,D,Braydon Coburn,2500,Phi@NYR 08:00PM ET,8,0.917,0.7336,0.00029344
77,W,Michael Raffl,4000,Phi@NYR 08:00PM ET,10,3.038,2.4304,0.0006076
79,W,Pierre-Edouard Bellemare,2800,Phi@NYR 08:00PM ET,10,1.594,1.2752,0.0004554285714
87,W,Zac Rinaldo,2500,Phi@NYR 08:00PM ET,10,0.833,0.6664,0.00026656
63,W,Jakub Voracek,8500,Phi@NYR 08:00PM ET,12,5.563,5.563,0.0006544705882
86,W,Wayne Simmonds,5400,Phi@NYR 08:00PM ET,12,3.469,3.469,0.0006424074074
76,W,Matt Read,4100,Phi@NYR 08:00PM ET,12,2.094,2.094,0.0005107317073
46,G,Cam Talbot,6200,Phi@NYR 08:00PM ET,12,1.4,1.4,0.0002258064516
65,W,Jason Akeson,2500,Phi@NYR 08:00PM ET,12,0.393,0.393,0.0001572
48,G,Henrik Lundqvist,9000,Phi@NYR 08:00PM ET,12,4.533,0,0
10,C,Henrik Sedin,4000,Van@Edm 08:00PM ET,15,2.917,2.917,0.00072925
4,C,Brad Richardson,2800,Van@Edm 08:00PM ET,15,1.972,1.972,0.0007042857143
13,C,Nick Bonino,5700,Van@Edm 08:00PM ET,15,3.483,3.483,0.0006110526316
17,C,Shawn Matthias,2600,Van@Edm 08:00PM ET,15,1.444,1.444,0.0005553846154
2,C,Bo Horvat,2500,Van@Edm 08:00PM ET,15,0.9,0.9,0.00036
55,W,Anthony Duclair,2500,Phi@NYR 08:00PM ET,17,1.654,1.654,0.0006616
81,W,Rick Nash,7900,Phi@NYR 08:00PM ET,17,4.789,4.789,0.0006062025316
59,W,Chris Kreider,3900,Phi@NYR 08:00PM ET,17,2.361,2.361,0.0006053846154
57,W,Carl Hagelin,4100,Phi@NYR 08:00PM ET,17,2.167,2.167,0.0005285365854
83,W,Tanner Glass,2500,Phi@NYR 08:00PM ET,17,0.611,0.611,0.0002444
78,W,Nail Yakupov,4000,Van@Edm 08:00PM ET,18,2.222,2.222,0.0005555
50,G,Ray Emery,7700,Phi@NYR 08:00PM ET,18,3.971,0,0
85,W,Teddy Purcell,3300,Van@Edm 08:00PM ET,18,1.694,1.694,0.0005133333333
68,W,Jordan Eberle,7000,Van@Edm 08:00PM ET,18,3.324,3.324,0.0004748571429
52,G,Steve Mason,8500,Phi@NYR 08:00PM ET,18,4.32,4.32,0.0005082352941
82,W,Steven Pinizzotto,2700,Van@Edm 08:00PM ET,18,0,0,0
71,W,Linden Vey,2700,Van@Edm 08:00PM ET,21,1.722,2.0664,0.0007653333333
3,C,Boyd Gordon,2900,Van@Edm 08:00PM ET,21,1.833,2.1996,0.0007584827586
12,C,Mark Arcobello,3800,Van@Edm 08:00PM ET,21,2.167,2.6004,0.0006843157895
15,C,Ryan Nugent-Hopkins,6700,Van@Edm 08:00PM ET,21,3.469,4.1628,0.0006213134328
18,C,Vincent Lecavalier,3300,Phi@NYR 08:00PM ET,22,2.3,2.76,0.0008363636364
16,C,Sean Couturier,3600,Phi@NYR 08:00PM ET,22,2.219,2.6628,0.0007396666667
5,C,Brayden Schenn,6100,Phi@NYR 08:00PM ET,22,3.344,4.0128,0.0006578360656
6,C,Chris VandeVelde,2800,Phi@NYR 08:00PM ET,22,1.5,1.8,0.0006428571429
14,C,R.J. Umberger,2700,Phi@NYR 08:00PM ET,22,1.375,1.65,0.0006111111111
1,C,Blair Jones,2500,Phi@NYR 08:00PM ET,22,0.071,0.0852,0.00003408
54,W,Alexandre Burrows,4400,Van@Edm 08:00PM ET,23,2.833,3.3996,0.0007726363636
80,W,Radim Vrbata,5900,Van@Edm 08:00PM ET,23,3.781,4.5372,0.0007690169492
64,W,Jannik Hansen,2500,Van@Edm 08:00PM ET,23,1.556,1.8672,0.00074688
62,W,Derek Dorsett,2500,Van@Edm 08:00PM ET,23,1.5,1.8,0.00072
88,W,Zack Kassian,2500,Van@Edm 08:00PM ET,23,1.429,1.7148,0.00068592
11,C,Leon Draisaitl,2900,Van@Edm 08:00PM ET,23,1.472,1.7664,0.0006091034483
73,W,Martin St. Louis,4900,Phi@NYR 08:00PM ET,25,3.083,3.6996,0.0007550204082
70,W,Lee Stempniak,4000,Phi@NYR 08:00PM ET,25,2.456,2.9472,0.0007368
69,W,Kevin Hayes,3300,Phi@NYR 08:00PM ET,25,1.8,2.16,0.0006545454545
74,W,Mats Zuccarello,5000,Phi@NYR 08:00PM ET,25,2.325,2.79,0.000558
66,W,Jesper Fast,2500,Phi@NYR 08:00PM ET,25,0.438,0.5256,0.00021024
51,G,Ryan Miller,8200,Van@Edm 08:00PM ET,26,4.614,6.4596,0.0007877560976
47,G,Eddie Lack,6200,Van@Edm 08:00PM ET,26,2.533,0,0
49,G,Jacob Markstrom,6200,Van@Edm 08:00PM ET,26,0,0,0
26,D,Dan Hamhuis,3100,Van@Edm 08:00PM ET,27,2,2.8,0.0009032258065
43,D,Ryan Stanton,2500,Van@Edm 08:00PM ET,27,1.556,2.1784,0.00087136
19,D,Alexander Edler,5500,Van@Edm 08:00PM ET,27,3.417,4.7838,0.0008697818182
31,D,Kevin Bieksa,3600,Van@Edm 08:00PM ET,27,2.111,2.9554,0.0008209444444
84,W,Taylor Hall,7400,Van@Edm 08:00PM ET,27,4.25,5.95,0.0008040540541
23,D,Christopher Tanev,3000,Van@Edm 08:00PM ET,27,1.694,2.3716,0.0007905333333
75,W,Matt Hendricks,3000,Van@Edm 08:00PM ET,27,1.694,2.3716,0.0007905333333
33,D,Luca Sbisa,3100,Van@Edm 08:00PM ET,27,1.75,2.45,0.0007903225806
61,W,David Perron,4500,Van@Edm 08:00PM ET,27,2.444,3.4216,0.0007603555556
44,D,Yannick Weber,2500,Van@Edm 08:00PM ET,27,1.344,1.8816,0.00075264
56,W,Benoit Pouliot,4200,Van@Edm 08:00PM ET,27,2.111,2.9554,0.0007036666667
67,W,Jesse Joensuu,2500,Van@Edm 08:00PM ET,27,1.139,1.5946,0.00063784
72,W,Luke Gazdic,2500,Van@Edm 08:00PM ET,27,0,0,0
8,C,Derick Brassard,4700,Phi@NYR 08:00PM ET,28,3.139,4.3946,0.0009350212766
9,C,Dominic Moore,2700,Phi@NYR 08:00PM ET,28,1.75,2.45,0.0009074074074
7,C,Derek Stepan,5300,Phi@NYR 08:00PM ET,28,3.067,4.2938,0.0008101509434
32,D,Kevin Klein,3300,Phi@NYR 08:00PM ET,30,2.176,3.0464,0.0009231515152
38,D,Matt Hunwick,2800,Phi@NYR 08:00PM ET,30,1.824,2.5536,0.000912
25,D,Dan Girardi,4700,Phi@NYR 08:00PM ET,30,3.028,4.2392,0.0009019574468
28,D,John Moore,2700,Phi@NYR 08:00PM ET,30,1.577,2.2078,0.0008177037037
60,W,Daniel Sedin,6200,Van@Edm 08:00PM ET,30,3.611,5.0554,0.0008153870968
34,D,Marc Staal,3500,Phi@NYR 08:00PM ET,30,2.028,2.8392,0.0008112
58,W,Chris Higgins,5100,Van@Edm 08:00PM ET,30,2.844,3.9816,0.0007807058824
24,D,Dan Boyle,4200,Phi@NYR 08:00PM ET,30,1.875,2.625,0.000625
