Pid,Pn,Name,S,Team,Or,Ppg,Projected
380901,G,Jonathan Quick,8900,,24.00,6.1,6.15836
386403,G,Jonas Hiller,6700,,30.00,5.0,5.30736
268143,W,Alex Ovechkin,8700,,29.00,4.8,5.06586
456624,C,Steven Stamkos,8000,,26.00,4.8,4.94136
550752,C,Tyler Seguin,8800,,24.00,5.5,5.55836
568698,D,Jared Spurgeon,5700,,30.00,4.6,4.90736
325006,D,Keith Yandle,5800,,29.00,4.2,4.46586
229384,D,Brent Burns,5500,,28.00,4.1,4.32436
590939,C,Tyler Johnson,5300,,26.00,4.1,4.24136
297473,G,Pekka Rinne,8500,,14.00,5.6,5.24336
550766,W,Vladimir Tarasenko,7300,,19.00,5.1,4.95086
301959,W,James Neal,7600,,21.00,4.1,4.03386
329565,W,Phil Kessel,8100,,18.00,4.8,4.60936
300782,G,Carey Price,8700,,12.00,4.8,4.36036
483697,G,Braden Holtby,7400,,23.00,4.0,4.01686
329560,D,Erik Johnson,5000,,26.00,3.4,3.54136
231127,D,Shea Weber,7000,,21.00,3.9,3.83386
504257,D,Oliver Ekman-Larsson,4800,,29.00,3.3,3.56586
659855,W,Filip Forsberg,8200,,14.00,4.6,4.24336
229391,W,Corey Perry,6700,,17.00,4.6,4.36786
172497,G,Ryan Miller,7100,,19.00,4.6,4.45086
172139,G,Kari Lehtonen,6500,,22.00,3.8,3.77536
550764,W,Jaden Schwartz,7200,,13.00,4.4,4.00186
170836,G,Roberto Luongo,6600,,16.00,4.4,4.12636
615345,W,Ondrej Palat,5100,,29.00,3.1,3.36586
392942,W,Patrick Kane,7100,,22.00,3.6,3.57536
229381,W,Zach Parise,5600,,17.00,4.3,4.06786
382350,G,Steve Mason,8400,,17.00,4.3,4.06786
556379,G,Frederik Andersen,6200,,8.00,4.3,3.69436
171367,C,Pavel Datsyuk,5900,,7.00,4.3,3.65286
547403,G,Darcy Kuemper,6500,,11.00,4.2,3.71886
456827,D,Erik Karlsson,6800,,17.00,4.2,3.96786
547488,D,Roman Josi,6100,,21.00,3.5,3.43386
450848,W,Matt Beleskey,4300,,27.00,3.0,3.18286
300797,C,Martin Hanzal,5300,,27.00,3.0,3.18286
297132,C,Valtteri Filppula,4600,,26.00,3.0,3.14136
339607,G,Ondrej Pavelec,6300,,15.00,4.1,3.78486
392964,W,Max Pacioretty,7800,,10.00,4.1,3.57736
176123,W,Jason Pominville,5800,,25.00,3.4,3.49986
593095,D,Tyson Barrie,4900,,26.00,2.9,3.04136
680978,C,Cedric Paquette,3100,,26.00,2.9,3.04136
458860,W,Jamie Benn,6600,,14.00,4.0,3.64336
326228,W,Troy Brouwer,4200,,29.00,2.8,3.06586
339914,W,Joel Ward,4100,,29.00,2.8,3.06586
229371,D,Ryan Suter,4300,,30.00,2.8,3.10736
172223,G,Cam Ward,6800,,20.00,3.9,3.79236
172441,C,Henrik Zetterberg,5900,,7.00,3.9,3.25286
174942,C,Jason Spezza,5500,,24.00,3.2,3.25836
329564,C,Nicklas Backstrom,5300,,25.00,3.2,3.29986
554494,W,Tyler Toffoli,5600,,16.00,3.8,3.52636
171352,W,Radim Vrbata,5400,,15.00,3.8,3.48486
229383,C,Ryan Getzlaf,5900,,20.00,3.8,3.69236
325162,W,Ryan Callahan,5800,,10.00,3.8,3.27736
831066,D,Aaron Ekblad,4900,,27.00,2.7,2.88286
170422,W,Shane Doan,4900,,21.00,3.1,3.03386
172862,G,Mike Smith,6300,,21.00,3.1,3.03386
456839,D,John Carlson,5800,,15.00,3.7,3.38486
392943,W,James van Riemsdyk,6700,,8.00,3.7,3.09436
268147,W,Blake Wheeler,6300,,7.00,3.7,3.05286
483706,G,Jake Allen,8800,,4.00,6.1,5.32836
496081,D,Marco Scandella,3600,,30.00,2.6,2.90736
172474,C,Antoine Vermette,4300,,27.00,2.6,2.78286
228968,C,Ryan Kesler,6400,,20.00,3.6,3.49236
329563,C,Jonathan Toews,6300,,12.00,3.6,3.16036
184268,D,Duncan Keith,6000,,9.00,3.6,3.03586
329287,D,Cody Franson,5400,,9.00,3.6,3.03586
170695,W,Marian Hossa,5700,,22.00,3.0,2.97536
456700,W,Mikkel Boedker,5200,,25.00,3.0,3.09986
479351,D,Jason Garrison,4700,,22.00,3.0,2.97536
607956,C,Vincent Trocheck,5100,,21.00,3.0,2.93386
504304,C,Marcus Johansson,4500,,25.00,3.0,3.09986
536508,D,Jake Muzzin,6300,,19.00,3.5,3.35086
392955,D,Kevin Shattenkirk,5800,,20.00,3.5,3.39236
478687,D,Michael Stone,3700,,29.00,2.5,2.76586
177011,C,Mikko Koivu,4200,,29.00,2.5,2.76586
550778,C,Charlie Coyle,4100,,29.00,2.5,2.76586
542226,C,Nick Bonino,5000,,10.00,3.5,2.97736
172243,D,Trevor Daley,3400,,24.00,2.9,2.95836
550769,C,Nick Bjugstad,5800,,21.00,2.9,2.83386
184091,C,Jussi Jokinen,5300,,21.00,2.9,2.83386
170699,W,Patrick Marleau,5000,,19.00,3.4,3.25086
456625,D,Drew Doughty,6200,,19.00,3.4,3.25086
330091,D,Alexander Edler,5000,,16.00,3.4,3.12636
498308,C,Jori Lehtera,6200,,17.00,3.4,3.16786
504249,C,Matt Duchene,6100,,15.00,3.4,3.08486
229375,C,Jeff Carter,5700,,18.00,3.4,3.20936
607616,W,Nikita Kucherov,4600,,10.00,3.4,2.87736
495943,C,Tyler Bozak,4900,,6.00,3.4,2.71136
