Pid,Pn,Player Name,Salary,Team,OPRK,Points,Projected
379020,RW,Steven Pinizzotto,2500,,25,1.5,1.59986
386808,RW,Patric Hornqvist,8000,,12,4.9,4.46036
593311,RW,Cam Atkinson,6600,,23,3.9,3.91686
329583,RW,Kyle Okposo,5800,,5,4.1,3.36986
456834,RW,Jordan Eberle,6000,,25,3.2,3.29986
169141,RW,Jaromir Jagr,4600,,26,2.5,2.64136
177697,RW,Michael Ryder,3700,,26,2.5,2.64136
230673,RW,Loui Eriksson,3800,,30,2.3,2.60736
653255,RW,Reilly Smith,3700,,30,2.3,2.60736
659808,RW,Nail Yakupov,3700,,25,2.1,2.19986
382185,RW,Teddy Purcell,3700,,25,1.9,1.99986
300810,RW,Steve Downie,3300,,12,2.3,1.86036
660042,RW,Damien Brunner,2800,,26,1.7,1.84136
300784,RW,Jack Skille,2500,,23,1.7,1.71686
229380,RW,Steve Bernier,2500,,26,1.4,1.54136
550770,RW,Beau Bennett,3100,,12,1.9,1.46036
547228,RW,Matt Fraser,2500,,30,1.1,1.40736
325206,RW,Adam Cracknell,2500,,23,1.1,1.11686
386556,RW,Cal Clutterbuck,3200,,5,1.6,0.86986
172192,RW,Jordin Tootoo,2500,,26,0.5,0.64136
381464,RW,Jared Boll,2500,,23,0.5,0.51686
551535,RW,Corey Tropp,2500,,23,0.5,0.51686
171296,RW,Craig Adams,2500,,12,0.6,0.16036
228978,LW,Chris Kunitz,5200,,26,3.6,3.74136
550751,LW,Taylor Hall,7500,,7,4.3,3.65286
172301,LW,Michael Cammalleri,5700,,30,3.3,3.60736
171258,LW,Scott Hartnell,6400,,10,4.1,3.57736
329662,LW,Nick Foligno,5900,,10,4.1,3.57736
171377,LW,Pascal Dupuis,5200,,26,3.4,0
414433,LW,Brad Marchand,3900,,23,2.6,0
303078,LW,Blake Comeau,3400,,26,2.2,2.34136
398616,LW,Milan Lucic,3500,,23,2.1,2.11686
171102,LW,Martin Havlat,3000,,30,1.7,2.00736
392970,LW,David Perron,4200,,7,2.4,1.75286
456701,LW,Josh Bailey,3500,,4,2.5,1.72836
386162,LW,Nikolai Kulemin,4100,,4,2.3,1.52836
184079,LW,Tuomo Ruutu,2500,,30,1.2,1.50736
300781,LW,Benoit Pouliot,4200,,7,2.1,1.45286
170546,LW,Dainius Zubrus,2500,,30,1.1,1.40736
395427,LW,Matt Hendricks,2900,,7,1.8,1.15286
522269,LW,Matt Calvert,2800,,10,1.4,0.87736
170941,LW,Simon Gagne,2500,,23,0.8,0.81686
172168,LW,Daniel Paille,2500,,23,0.8,0.81686
594735,LW,Cory Conacher,2500,,4,1.4,0.62836
446376,LW,Jesse Joensuu,2500,,7,1.1,0.45286
520230,LW,Matt Martin,2500,,4,0.9,0.12836
495948,LW,Luke Gazdic,2500,,7,0.0,-0.64714
229367,G,Marc-Andre Fleury,9500,,7,6.4,5.75286
326139,G,Thomas Greiss,8900,,7,6.0,0
300802,G,Tuukka Rask,9100,,25,4.8,0
296723,G,Jaroslav Halak,8700,,3,5.3,0
269241,G,Cory Schneider,8100,,26,4.0,4.14136
545448,G,Sergei Bobrovsky,6300,,8,4.4,0
656680,G,Niklas Svedberg,7500,,25,3.5,3.59986
544763,G,Ben Scrivens,6200,,10,3.0,0
507427,G,Chad Johnson,6200,,3,3.0,0
656273,G,Viktor Fasth,6200,,10,2.5,0
296906,G,Curtis McElhinney,6200,,8,2.2,0
171394,G,Scott Clemmensen,7000,,26,-0.7,-0.55864
339745,D,Kris Letang,7700,,14,4.2,3.84336
172221,D,Johnny Boychuk,5100,,13,3.6,3.20186
652695,D,Torey Krug,4300,,23,2.8,2.81686
600102,D,Dougie Hamilton,3700,,23,2.8,2.81686
660810,D,Damon Severson,2800,,25,2.6,2.69986
245480,D,James Wisniewski,5100,,11,3.1,2.61886
178388,D,Marek Zidlicky,3400,,25,2.5,2.59986
172182,D,Dennis Seidenberg,3600,,23,2.4,2.41686
323176,D,Andy Greene,3800,,25,2.3,2.39986
660044,D,Justin Schultz,4500,,6,2.7,2.01136
504293,D,Nick Leddy,3800,,13,2.4,2.00186
547077,D,Eric Gelinas,3300,,25,1.9,1.99986
171273,D,Lubomir Visnovsky,3400,,13,2.3,1.90186
298608,D,Jack Johnson,4300,,11,2.3,1.81886
547799,D,David Savard,3400,,11,2.3,1.81886
521878,D,Travis Hamonic,3500,,13,2.2,1.80186
600078,D,Adam Larsson,3100,,25,1.7,1.79986
659868,D,Olli Maatta,3100,,14,2.0,1.64336
600125,D,Joseph Morrow,2500,,23,1.6,1.61686
172864,D,Christian Ehrhoff,3600,,14,1.9,1.54336
504319,D,Simon Despres,2700,,14,1.9,1.54336
548735,D,Nikita Nikitin,3300,,6,2.2,1.51136
177791,D,Paul Martin,2600,,14,1.8,1.44336
392945,D,Thomas Hickey,3000,,13,1.8,1.40186
521554,D,Robert Bortuzzo,4200,,14,1.7,1.34336
563202,D,Mark Fayne,2600,,6,2.0,1.31136
504279,D,Calvin de Haan,2700,,13,1.7,1.30186
504303,D,Tim Erixon,2800,,11,1.6,1.11886
