Pid,Pn,Name,S,TEAM,Or,Ppg,Projected,
458860,LW,Jamie Benn,8300,,30.00,4.20,6.72,
297473,G,Pekka Rinne,8600,,21.00,5.60,6.72,
545448,G,Sergei Bobrovsky,6500,,30.00,4.20,6.72,
176834,G,Craig Anderson,8400,,13.00,6.00,6,1
550752,C,Tyler Seguin,8600,,16.00,5.50,5.5,
550751,LW,Taylor Hall,6100,,26.00,3.80,5.32,
339607,G,Ondrej Pavelec,6400,,27.00,3.80,0,
229391,RW,Corey Perry,8200,,23.00,4.40,5.28,
268147,RW,Blake Wheeler,5700,,30.00,3.60,5.04,
171352,RW,Radim Vrbata,6800,,24.00,4.10,4.92,
329662,LW,Nick Foligno,5700,,23.00,4.10,4.92,
254822,D,Mark Giordano,6800,,18.00,4.80,4.8,
386403,G,Jonas Hiller,6600,,16.00,4.70,4.7,
555748,D,John Klingberg,4100,,26.00,3.30,4.62,
380901,G,Jonathan Quick,8800,,8.00,5.70,4.56,
171258,LW,Scott Hartnell,5400,,23.00,3.80,4.56,
172301,LW,Michael Cammalleri,5500,,28.00,3.20,4.48,
600075,C,Ryan Nugent-Hopkins,4900,,28.00,3.10,4.34,
741404,C,Nathan MacKinnon,7700,,25.00,3.60,4.32,
550764,LW,Jaden Schwartz,6500,,20.00,4.30,4.3,
456627,D,Alex Pietrangelo,5900,,24.00,3.50,4.2,
170422,RW,Shane Doan,4700,,29.00,3.00,4.2,
379958,G,Brian Elliott,8000,,10.00,5.10,4.08,
172243,D,Trevor Daley,3700,,26.00,2.90,4.06,
392955,D,Kevin Shattenkirk,5100,,24.00,3.30,3.96,
550766,RW,Vladimir Tarasenko,7000,,9.00,4.90,3.92,
301959,LW,James Neal,5800,,19.00,3.90,3.9,
325006,D,Keith Yandle,5200,,13.00,3.90,3.9,
172497,G,Ryan Miller,7300,,9.00,4.80,3.84,
504249,C,Matt Duchene,5700,,25.00,3.20,3.84,
456834,RW,Jordan Eberle,5600,,21.00,3.10,3.72,
329643,RW,Michael Frolik,4500,,30.00,2.60,3.64,
172474,C,Antoine Vermette,4300,,26.00,2.60,3.64,1.4
659855,RW,Filip Forsberg,6800,,7.00,4.50,3.6,
536508,D,Jake Muzzin,5400,,17.00,3.60,3.6,
597137,D,Sami Vatanen,5200,,11.00,3.60,3.6,
172862,G,Mike Smith,6300,,22.00,3.00,3.6,
521980,C,Tomas Vincour,2500,,25.00,3.00,0,
296054,RW,Dustin Byfuglien,4800,,30.00,2.50,3.5,
170514,RW,Jarome Iginla,4600,,26.00,2.50,3.5,
594801,LW,Antoine Roussel,3700,,30.00,2.50,3.5,
660044,D,Justin Schultz,4500,,29.00,2.50,3.5,
659853,D,Jacob Trouba,4100,,28.00,2.50,3.5,
395914,D,Alex Goligoski,4000,,26.00,2.50,3.5,
456626,D,Zach Bogosian,3900,,28.00,2.50,3.5,
329645,C,Bryan Little,4200,,30.00,2.50,3.5,
456625,D,Drew Doughty,5700,,17.00,3.50,3.5,
329560,D,Erik Johnson,5200,,20.00,3.50,3.5,
236148,D,Dennis Wideman,5000,,18.00,3.50,3.5,
498308,C,Jori Lehtera,5000,,17.00,3.50,3.5,
504309,RW,Kyle Palmieri,4000,,23.00,2.90,3.48,
456700,LW,Mikkel Boedker,4500,,22.00,2.90,3.48,
604631,C,Craig Smith,5100,,21.00,2.90,3.48,
269241,G,Cory Schneider,8400,,5.00,4.30,3.44,
508872,D,T.J. Brodie,4400,,18.00,3.40,3.4,
456827,D,Erik Karlsson,7000,,2.00,4.20,3.36,
392970,LW,David Perron,4500,,26.00,2.40,3.36,
296050,LW,Clarke MacArthur,4900,,12.00,3.30,3.3,
542226,C,Nick Bonino,4700,,15.00,3.30,3.3,
550754,C,Ryan Johansen,7300,,7.00,4.10,3.28,
170954,C,Mike Ribeiro,4300,,21.00,2.70,3.24,
386998,D,Tobias Enstrom,3400,,28.00,2.30,0,
172195,LW,Alexander Steen,5400,,20.00,3.20,3.2,
231127,D,Shea Weber,7200,,1.00,3.90,3.12,
229383,C,Ryan Getzlaf,6700,,10.00,3.90,3.12,
298603,RW,Bobby Ryan,5300,,13.00,3.10,3.1,
600076,LW,Gabriel Landeskog,5800,,15.00,3.10,3.1,
268146,LW,Andrew Ladd,4800,,14.00,3.10,3.1,
504257,D,Oliver Ekman-Larsson,4900,,13.00,3.10,3.1,
174942,C,Jason Spezza,5300,,16.00,3.10,3.1,
570272,C,Adam Henrique,4900,,19.00,3.10,3.1,
594632,RW,Ryan Garbutt,4000,,28.00,2.20,3.08,
392947,C,Sam Gagner,4100,,26.00,2.20,3.08,
600098,C,Mark Scheifele,3800,,30.00,2.20,3.08,
596832,RW,Jakob Silfverberg,4300,,23.00,2.50,3,
171089,C,Henrik Sedin,4500,,15.00,3.00,3,
593311,RW,Cam Atkinson,5400,,1.00,3.70,2.96,
548735,D,Nikita Nikitin,3200,,29.00,2.10,2.94,
593803,C,Mark Arcobello,3200,,28.00,2.10,2.94,
593095,D,Tyson Barrie,4800,,20.00,2.90,2.9,
329285,D,Kris Russell,4400,,18.00,2.90,2.9,
321868,C,David Backes,5200,,17.00,2.90,2.9,
554494,RW,Tyler Toffoli,4900,,8.00,3.60,2.88,
171088,LW,Daniel Sedin,6300,,10.00,3.60,2.88,
228968,C,Ryan Kesler,5800,,10.00,3.60,2.88,
732732,G,Reto Berra,6200,,23.00,2.40,2.88,
547488,D,Roman Josi,5800,,1.00,3.50,2.8,
610628,RW,Tobias Rieder,3000,,29.00,2.00,2.8,
504252,LW,Evander Kane,5200,,14.00,2.80,2.8,
330092,RW,Jannik Hansen,3400,,24.00,2.30,2.76,
170712,C,Matt Cullen,3300,,21.00,2.30,2.76,
330091,D,Alexander Edler,5000,,5.00,3.40,2.72,
172233,RW,Jiri Hudler,4400,,15.00,2.70,2.7,
653479,RW,Alex Chiasson,4300,,13.00,2.70,2.7,
563202,D,Mark Fayne,2600,,29.00,1.90,2.66,
172229,C,Boyd Gordon,3000,,28.00,1.90,2.66,
607582,C,Boone Jenner,4500,,7.00,3.30,2.64,
172504,C,Derek Roy,3600,,21.00,2.20,2.64,
522606,LW,Mike Hoffman,3300,,12.00,2.60,2.6,
544763,G,Ben Scrivens,6400,,11.00,2.60,0,
478687,D,Michael Stone,4000,,13.00,2.60,2.6,
593940,D,Zach Redmond,3400,,20.00,2.60,2.6,
528331,C,Cody Eakin,4600,,16.00,2.60,2.6,
229375,C,Jeff Carter,5000,,2.00,3.20,2.56,
741409,C,Sean Monahan,5000,,6.00,3.20,2.56,
607594,C,Markus Granlund,3800,,6.00,3.20,2.56,
171386,RW,Martin Erat,2700,,29.00,1.80,2.52,
171251,LW,Erik Cole,2500,,30.00,1.80,2.52,
229385,D,Mark Stuart,2700,,28.00,1.80,2.52,
554489,RW,Devante Smith-Pelly,3600,,23.00,2.10,2.52,
659808,RW,Nail Yakupov,3500,,21.00,2.10,2.52,
456699,C,Colin Wilson,3900,,21.00,2.10,2.52,
547227,LW,Andrew Agozzino,2500,,15.00,2.50,0,
450848,LW,Matt Beleskey,4300,,9.00,3.00,2.4,
169141,RW,Jaromir Jagr,4000,,19.00,2.40,2.4,
177697,RW,Michael Ryder,3800,,19.00,2.40,2.4,
556369,RW,Mark Stone,3400,,13.00,2.40,2.4,
170807,LW,Alex Tanguay,3100,,15.00,2.40,2.4,
550762,D,Cam Fowler,3800,,11.00,2.40,2.4,
229392,RW,Patrick Eaves,2800,,28.00,1.70,2.38,
395427,LW,Matt Hendricks,2500,,26.00,1.70,2.38,
542700,D,Jeff Petry,3000,,29.00,1.70,2.38,
447273,C,Mathieu Perreault,3700,,30.00,1.70,2.38,
172150,LW,Chris Higgins,4800,,10.00,2.90,2.32,
245480,D,James Wisniewski,4500,,9.00,2.90,2.32,
522130,LW,Ryan O'Reilly,4200,,15.00,2.30,2.3,
172653,D,Zbynek Michalek,3300,,13.00,2.30,2.3,
382185,RW,Teddy Purcell,3600,,21.00,1.90,2.28,
171102,LW,Martin Havlat,3300,,28.00,1.60,2.24,
184079,LW,Tuomo Ruutu,3000,,28.00,1.60,2.24,
501534,D,Jordie Benn,2500,,26.00,1.60,2.24,
171290,RW,Justin Williams,5100,,8.00,2.80,2.24,
392944,C,Kyle Turris,4900,,1.00,2.70,2.16,
228966,LW,Milan Michalek,3900,,12.00,2.10,2.1,
172592,RW,Ales Hemsky,3700,,28.00,1.50,2.1,
495950,C,Joe Vitale,2500,,26.00,1.50,2.1,
245514,LW,Curtis Glencross,4800,,2.00,2.60,2.08,
610588,LW,Johnny Gaudreau,4300,,2.00,2.60,2.08,
659876,LW,Tanner Pearson,3300,,4.00,2.60,2.08,
298608,D,Jack Johnson,4600,,9.00,2.60,2.08,
504263,D,Ryan Ellis,3900,,1.00,2.60,2.08,
329635,C,Trevor Lewis,3200,,2.00,2.60,2.08,
381466,RW,Derek Dorsett,2600,,24.00,1.70,2.04,
269234,LW,Lauri Korpikoski,2800,,22.00,1.70,2.04,
499847,D,Carl Gunnarsson,2700,,24.00,1.70,2.04,
178388,D,Marek Zidlicky,3700,,6.00,2.50,2,
660810,D,Damon Severson,2900,,6.00,2.50,2,
329424,D,Jan Hejda,2900,,20.00,2.00,2,
269235,C,Travis Zajac,3500,,19.00,2.00,2,
170950,D,Andrew Ference,2800,,29.00,1.40,1.96,
831068,C,Leon Draisaitl,3100,,28.00,1.40,1.96,
596465,RW,Linden Vey,2500,,24.00,1.60,1.92,
397070,D,David Schlemko,3400,,13.00,1.90,1.9,
659813,D,Hampus Lindholm,3400,,11.00,1.90,1.9,
172432,D,Francois Beauchemin,3000,,11.00,1.90,1.9,
330094,C,Paul Stastny,4300,,17.00,1.90,1.9,
170456,C,Patrik Elias,4000,,19.00,1.90,1.9,
