ID,Pos,Name,Sal,Team,OR,FPPG,Projected
296786,C,Sidney Crosby,"6,150",PIT,21.00,4.55,5.46
268144,C,Evgeni Malkin,"5,900",PIT,21.00,4.01,4.812
171432,C,Stephen Weiss,"3,250",DET,13.00,4.75,4.75
172738,C,Tomas Plekanec,"4,900",MTL,28.00,2.85,3.99
550752,C,Tyler Seguin,"6,000",DAL,3.00,4.82,3.856
171089,C,Henrik Sedin,"5,100",VAN,30.00,2.74,3.836
542226,C,Nick Bonino,"4,550",VAN,30.00,2.74,3.836
171367,C,Pavel Datsyuk,"5,200",DET,13.00,3.65,3.65
550754,C,Ryan Johansen,"5,600",CBJ,15.00,3.43,3.43
498308,C,Jori Lehtera,"5,000",STL,18.00,3.14,3.14
564333,C,Brandon Pirri,"3,800",FLA,17.00,2.96,2.96
550769,C,Nick Bjugstad,"4,150",FLA,17.00,2.59,2.59
392952,C,Brandon Sutter,"4,100",PIT,21.00,2.11,2.532
229368,C,Eric Staal,"4,600",CAR,8.00,3.04,2.432
329645,C,Bryan Little,"4,750",WPG,14.00,2.36,2.36
451706,C,David Desharnais,"4,450",MTL,28.00,1.67,2.338
325618,C,David Krejci,"5,200",BOS,7.00,2.81,2.248
392954,C,Lars Eller,"3,500",MTL,28.00,1.58,2.212
607582,C,Boone Jenner,"3,900",CBJ,15.00,2.18,2.18
570272,C,Adam Henrique,"4,500",NJ,9.00,2.7,2.16
177011,C,Mikko Koivu,"4,300",MIN,27.00,1.54,2.156
253323,C,Kyle Brodziak,"3,700",MIN,27.00,1.5,2.1
174942,C,Jason Spezza,"5,050",DAL,3.00,2.58,2.064
456838,C,Tyler Ennis,"3,950",BUF,12.00,2.06,2.06
607956,C,Vincent Trocheck,"3,500",FLA,17.00,2.06,2.06
550759,C,Mikael Granlund,"4,400",MIN,27.00,1.46,2.044
230685,C,Patrice Bergeron,"5,000",BOS,7.00,2.49,1.992
321868,C,David Backes,"4,550",STL,18.00,1.99,1.99
659858,C,Zemgus Girgensons,"3,800",BUF,12.00,1.99,1.99
392962,C,Riley Nash,"3,800",CAR,8.00,2.41,1.928
741412,C,Bo Horvat,"3,000",VAN,30.00,1.36,1.904
326131,C,Carl Soderberg,"4,300",BOS,7.00,2.31,1.848
392944,C,Kyle Turris,"4,750",OTT,5.00,2.26,1.808
600075,C,Ryan Nugent-Hopkins,"4,700",EDM,1.00,2.24,1.792
