ID,Player Name,Position,Team,Salary,DK-Avg-Pts,FantasyProsProj,,,,,Name,Position,Salary,GameInfo,AvgPointsPerGame
1,A.J. Green,WR,CIN,6300,16.475,13.9,,,,,49ers,DST,3200,StL@SF 04:05PM ET,6.714
2,A.J. Jenkins,WR,KC,3000,1.771,1.4,,,,,A.J. Green,WR,6300,Jax@Cin 01:00PM ET,16.475
3,Aaron Dobson,WR,NE,3000,2.267,0,,,,,A.J. Jenkins,WR,3000,NYJ@KC 01:00PM ET,1.771
4,Aaron Murray,QB,KC,5000,0,0,,,,,Aaron Dobson,WR,3000,Den@NE 04:25PM ET,2.267
5,Ace Sanders,WR,JAC,3000,1.05,0.6,,,,,Aaron Murray,QB,5000,NYJ@KC 01:00PM ET,0
6,Adam Thielen,WR,MIN,3000,1.213,0.3,,,,,Ace Sanders,WR,3000,Jax@Cin 01:00PM ET,1.05
7,Adrian Peterson,RB,MIN,3000,1.213,0,,,,,Adam Thielen,WR,3000,Was@Min 01:00PM ET,1.213
8,Adrien Robinson,TE,NYG,3000,1.129,0.1,,,,,Adrien Robinson,TE,3000,Ind@NYG 08:30PM ET,1.129
9,Ahmad Bradshaw,RB,IND,5800,17.563,13.2,,,,,Ahmad Bradshaw,RB,5800,Ind@NYG 08:30PM ET,17.563
10,AJ McCarron,QB,CIN,5800,17.563,0,,,,,Albert Wilson,WR,3000,NYJ@KC 01:00PM ET,0.7
11,Albert Wilson,WR,KC,3000,0.7,0,,,,,Aldrick Robinson,WR,3000,Was@Min 01:00PM ET,0.32
12,Aldrick Robinson,WR,WAS,3000,0.32,0.1,,,,,Alex Bayer,TE,3000,StL@SF 04:05PM ET,0
13,Alex Smith,QB,KC,5700,15.149,15.8,,,,,Alex Smith,QB,5700,NYJ@KC 01:00PM ET,15.149
14,Alex Smith,TE,CIN,5700,15.149,0,,,,,Alfred Blue,RB,3000,Phi@Hou 01:00PM ET,4.875
15,Alfred Blue,RB,HOU,3000,4.875,3.6,,,,,Alfred Morris,RB,3900,Was@Min 01:00PM ET,10.8
16,Alfred Morris,RB,WAS,3900,10.8,11.9,,,,,Allen Hurns,WR,3000,Jax@Cin 01:00PM ET,9.8
17,Allen Hurns,WR,JAC,3000,9.8,3.2,,,,,Allen Robinson,WR,4900,Jax@Cin 01:00PM ET,12.038
18,Allen Robinson,WR,JAC,4900,12.038,8.9,,,,,Andre Caldwell,WR,3000,Den@NE 04:25PM ET,0.514
19,Andre Caldwell,WR,DEN,3000,0.514,0.3,,,,,Andre Ellington,RB,5900,Ari@Dal 01:00PM ET,17.257
20,Andre Ellington,RB,ARI,5900,17.257,13.7,,,,,Andre Holmes,WR,4800,Oak@Sea 04:25PM ET,12.457
21,Andre Holmes,WR,OAK,4800,12.457,6.6,,,,,Andre Johnson,WR,5500,Phi@Hou 01:00PM ET,13.138
22,Andre Johnson,WR,HOU,5500,13.138,10.5,,,,,Andre Roberts,WR,3300,Was@Min 01:00PM ET,7.613
